,,"EU Digital Operational Resilience Act (DORA) Articles 5 to 45
to CRI Profile ver. 2.1 Mapping","EU Digital Operational Resilience Act (DORA) Articles 5 to 45
to CRI Profile ver. 2.1 Mapping",,,,,,,,,
Chapter II: ICT risk management,Section I Article 6,DORA-06-03,"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",Semantic,Superset of,8,9,"The Profile addresses having a risk management framework, strategies, policies, and procedures in place that attempt to minimize the ICT risk, but Section I Article 6 (Statement 3) addresses specifically providing the ICT risk management framework to the competent authorities upon their request.","GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02,019.042
Chapter II: ICT risk management,Section I Article 6,DORA-06-03,"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",Semantic,Superset of,7,9,"The Profile addresses having a risk management framework, strategies, policies, and procedures in place that attempt to minimize the ICT risk, but Section I Article 6 (Statement 3) addresses specifically providing the ICT risk management framework to the competent authorities upon their request.","GV.RR-02.07: Technology and cybersecurity risk management frameworks provide for segregation of duties between policy development, implementation, and oversight.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.07,020.052
Chapter II: ICT risk management,Section I Article 6,DORA-06-03,"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",Semantic,Superset of,8,9,"The Profile addresses having a risk management framework, strategies, policies, and procedures in place that attempt to minimize the ICT risk, but Section I Article 6 (Statement 3) addresses specifically providing the ICT risk management framework to the competent authorities upon their request.","GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01,025.067
Chapter II: ICT risk management,Section I Article 6,DORA-06-03,"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",Semantic,Superset of,7,9,"The Profile addresses having a risk management framework, strategies, policies, and procedures in place that attempt to minimize the ICT risk, but Section I Article 6 (Statement 3) addresses specifically providing the ICT risk management framework to the competent authorities upon their request.","GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GOVERN / Oversight / Risk Management Strategy Review & Adjustment,GV.OV-02.01,028.071
Chapter II: ICT risk management,Section I Article 6,DORA-06-03,"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",Semantic,Superset of,8,9,"The Profile addresses having a risk management framework, strategies, policies, and procedures in place that attempt to minimize the ICT risk, but Section I Article 6 (Statement 3) addresses specifically providing the ICT risk management framework to the competent authorities upon their request.","GV.SC-01.01: The organization maintains a third-party risk management strategy and program to identify and manage the risks associated with third parties throughout their lifecycles in a timely manner, including in support of sector-critical systems and operations, to ensure alignment within risk appetite.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,GV.SC-01.01,031.075
Chapter II: ICT risk management,Section I Article 6,DORA-06-03,"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",Semantic,Superset of,7,9,"The Profile addresses having a risk management framework, strategies, policies, and procedures in place that attempt to minimize the ICT risk, but Section I Article 6 (Statement 3) addresses specifically providing the ICT risk management framework to the competent authorities upon their request.","GV.SC-03.01: The organization's third-party risk management strategy and program aligns with and supports its enterprise, technology, cybersecurity, and resilience risk management frameworks and programs.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Integration,GV.SC-03.01,033.078
Chapter II: ICT risk management,Section I Article 6,DORA-06-03,"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",Semantic,Intersects with,7,9,"The Profile addresses having a risk management framework, strategies, policies, and procedures in place that attempt to minimize the ICT risk, but Section I Article 6 (Statement 3) addresses specifically providing the ICT risk management framework to the competent authorities upon their request.","ID.RA-01.02: The organization's business units ensure that information regarding cyber risk is shared with the appropriate level of senior management in a timely manner, so that they can address and respond to emerging cyber risk.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.02,055.112
Chapter II: ICT risk management,Section I Article 6,DORA-06-03,"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",Semantic,Superset of,7,9,"The Profile addresses having a risk management framework, strategies, policies, and procedures in place that attempt to minimize the ICT risk, but Section I Article 6 (Statement 3) addresses specifically providing the ICT risk management framework to the competent authorities upon their request.","ID.RA-07.04: Policy exceptions, risk mitigation plans, and risk acceptances resulting from assessments and evaluations, such as testing, exercises, audits, etc., are formally managed, approved, escalated to defined levels of management, and tracked to closure.",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07.04,061.134
Chapter II: ICT risk management,Section I Article 6,DORA-06-03,"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",Semantic,Superset of,7,9,"The Profile addresses having a risk management framework, strategies, policies, and procedures in place that attempt to minimize the ICT risk, but Section I Article 6 (Statement 3) addresses specifically providing the ICT risk management framework to the competent authorities upon their request.","ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.08,067.161
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.01,011.023
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.RR-02.07: Technology and cybersecurity risk management frameworks provide for segregation of duties between policy development, implementation, and oversight.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.07,020.052
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,GV.IR-01.01: The organization's enterprise-wide technology and cybersecurity risk management frameworks align with and support an independent risk management function that provides assurance that the frameworks are implemented consistently and as intended.,GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01.01,038.082
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.IR-01.02: The independent risk management function has sufficient independence, stature, authority, resources, and access to the governing body (e.g., the Board or one of its committees), including reporting lines, to ensure consistency with the organization's risk management frameworks.",GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01.02,038.083
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.IR-01.03: The independent risk management function has an understanding of the organization's structure, technology and cybersecurity strategies and programs, and relevant risks and threats.",GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01.03,038.084
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,GV.IR-02.01: The independent risk management function regularly evaluates the appropriateness of the technology and cybersecurity risk management programs to the organization's risk appetite and inherent risk environment,GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02.01,039.085
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.IR-02.02: The independent risk management function regularly assesses the organization's controls and cybersecurity risk exposure, identifies opportunities for improvement based on assessment results, and recommends program improvements",GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02.02,039.086
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.IR-03.01: The independent risk management function reports to the governing authority (e.g., the Board or one of its committees) and to the designated risk management officer within the organization on the implementation of the technology and cybersecurity risk management frameworks throughout the organization and its independent assessment of risk posture.",GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,GV.IR-03.01,040.087
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.AU-01.01: The organization has an independent audit function (i.e., internal audit group or external auditor) that follows generally accepted audit practices and approved audit policies and procedures.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.01,042.088
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.AU-01.02: The organization has an independent audit plan that provides for the evaluation of technology and cybersecurity risk, including compliance with the approved risk management framework, policies, and processes for technology, cybersecurity, and resilience; and how well the organization adapts to the evolving risk environment while remaining within its stated risk appetite and tolerance.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.02,042.089
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.03,042.090
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.AU-01.04: The independent audit function evaluates and tests third-party risk management policies and controls, identifies weaknesses and gaps, and recommends improvements to senior management and the governing authority (e.g., the Board or one of its committees).",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.04,042.091
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,GV.AU-01.05: An independent audit function assesses compliance with applicable laws and regulations.,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.05,042.092
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.AU-02.01: A formal process is in place for the independent audit function to review and update its procedures and audit plans regularly or in response to changes in relevant standards, the technology environment, or the business environment.",GOVERN / Independent Audit Function / Independent Audit Procedures,GV.AU-02.01,043.093
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.AU-02.02: A formal process is in place for the independent audit function to update its procedures and audit plans based on changes to the organization's risk appetite, risk tolerance, threat environment, and evolving risk profile.",GOVERN / Independent Audit Function / Independent Audit Procedures,GV.AU-02.02,043.094
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,GOVERN / Independent Audit Function / Independent Audit Reporting,GV.AU-03.01,044.095
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,GV.AU-03.02: The independent audit function tracks identified issues and corrective actions from internal audits and independent testing/assessments to ensure timely resolution.,GOVERN / Independent Audit Function / Independent Audit Reporting,GV.AU-03.02,044.096
Chapter II: ICT risk management,Section I Article 6,DORA-06-04,"4. Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",Semantic,Superset of,8,10,No Gaps Identified,"GV.AU-03.03: The independent audit function reports to the governing authority (e.g., the Board or one of its committees) within the organization, including when its assessment differs from that of the organization, or when risk tolerance has been exceeded in any part of the organization.",GOVERN / Independent Audit Function / Independent Audit Reporting,GV.AU-03.03,044.097
Chapter II: ICT risk management,Section I Article 6,DORA-06-05,"5. The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.",Semantic,Subset of,9,9,"The Profile emphasizes the importance of regularly revising risk management strategies, controls, and policies in response to shifts in risk profiles, technological advancements, and insights gained from audits, assessments, incidents, and exercises. Meanwhile, Section I Article 6 (Statement 5) specifically addresses that the ICT risk management framework be formally documented and undergo an annual review. The review should also be performed regularly based on regulatory guidance, outcomes from digital resilience testing, and lessons learned from implementation and monitoring. Additionally, it requires that the results of this review be reported to the relevant regulatory body upon request.","GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GOVERN / Risk Management Strategy / Standardized Risk Management Method,GV.RM-06.01,014.030
Chapter II: ICT risk management,Section I Article 6,DORA-06-05,"5. The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.",Semantic,Subset of,6,9,"The Profile emphasizes the importance of regularly revising risk management strategies, controls, and policies in response to shifts in risk profiles, technological advancements, and insights gained from audits, assessments, incidents, and exercises. Meanwhile, Section I Article 6 (Statement 5) specifically addresses that the ICT risk management framework be formally documented and undergo an annual review. The review should also be performed regularly based on regulatory guidance, outcomes from digital resilience testing, and lessons learned from implementation and monitoring. Additionally, it requires that the results of this review be reported to the relevant regulatory body upon request.","GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",GV.PO-02.01,025.067
Chapter II: ICT risk management,Section I Article 6,DORA-06-05,"5. The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.",Semantic,Intersects with,8,9,"The Profile emphasizes the importance of regularly revising risk management strategies, controls, and policies in response to shifts in risk profiles, technological advancements, and insights gained from audits, assessments, incidents, and exercises. Meanwhile, Section I Article 6 (Statement 5) specifically addresses that the ICT risk management framework be formally documented and undergo an annual review. The review should also be performed regularly based on regulatory guidance, outcomes from digital resilience testing, and lessons learned from implementation and monitoring. Additionally, it requires that the results of this review be reported to the relevant regulatory body upon request.","GV.IR-02.02: The independent risk management function regularly assesses the organization's controls and cybersecurity risk exposure, identifies opportunities for improvement based on assessment results, and recommends program improvements",GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02.02,039.086
Chapter II: ICT risk management,Section I Article 6,DORA-06-05,"5. The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.",Semantic,Intersects with,8,9,"The Profile emphasizes the importance of regularly revising risk management strategies, controls, and policies in response to shifts in risk profiles, technological advancements, and insights gained from audits, assessments, incidents, and exercises. Meanwhile, Section I Article 6 (Statement 5) specifically addresses that the ICT risk management framework be formally documented and undergo an annual review. The review should also be performed regularly based on regulatory guidance, outcomes from digital resilience testing, and lessons learned from implementation and monitoring. Additionally, it requires that the results of this review be reported to the relevant regulatory body upon request.","GV.IR-03.01: The independent risk management function reports to the governing authority (e.g., the Board or one of its committees) and to the designated risk management officer within the organization on the implementation of the technology and cybersecurity risk management frameworks throughout the organization and its independent assessment of risk posture.",GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,GV.IR-03.01,040.087
Chapter II: ICT risk management,Section I Article 6,DORA-06-05,"5. The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.",Semantic,Superset of,7,9,"The Profile emphasizes the importance of regularly revising risk management strategies, controls, and policies in response to shifts in risk profiles, technological advancements, and insights gained from audits, assessments, incidents, and exercises. Meanwhile, Section I Article 6 (Statement 5) specifically addresses that the ICT risk management framework be formally documented and undergo an annual review. The review should also be performed regularly based on regulatory guidance, outcomes from digital resilience testing, and lessons learned from implementation and monitoring. Additionally, it requires that the results of this review be reported to the relevant regulatory body upon request.","ID.RA-03.01: The organization, on an ongoing basis, identifies, analyzes, correlates, characterizes, and reports threats that are internal and external to the firm.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.01,057.116
Chapter II: ICT risk management,Section I Article 6,DORA-06-05,"5. The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.",Semantic,Subset of,8,9,"The Profile emphasizes the importance of regularly revising risk management strategies, controls, and policies in response to shifts in risk profiles, technological advancements, and insights gained from audits, assessments, incidents, and exercises. Meanwhile, Section I Article 6 (Statement 5) specifically addresses that the ICT risk management framework be formally documented and undergo an annual review. The review should also be performed regularly based on regulatory guidance, outcomes from digital resilience testing, and lessons learned from implementation and monitoring. Additionally, it requires that the results of this review be reported to the relevant regulatory body upon request.","ID.IM-03.01: A formal process is in place to improve protection controls and processes by integrating recommendations, findings, and lessons learned from exercises, testing, audits, assessments, and incidents.",IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.01,066.152
Chapter II: ICT risk management,Section I Article 6,DORA-06-05,"5. The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.",Semantic,Subset of,8,9,"The Profile emphasizes the importance of regularly revising risk management strategies, controls, and policies in response to shifts in risk profiles, technological advancements, and insights gained from audits, assessments, incidents, and exercises. Meanwhile, Section I Article 6 (Statement 5) specifically addresses that the ICT risk management framework be formally documented and undergo an annual review. The review should also be performed regularly based on regulatory guidance, outcomes from digital resilience testing, and lessons learned from implementation and monitoring. Additionally, it requires that the results of this review be reported to the relevant regulatory body upon request.","ID.IM-03.02: The organization establishes a systematic and comprehensive program to regularly evaluate and improve its monitoring and detection processes and controls as the threat environment changes, tools and techniques evolve, and lessons are learned.",IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03.02,066.153
Chapter II: ICT risk management,Section I Article 6,DORA-06-05,"5. The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.",Semantic,Subset of,6,9,"The Profile emphasizes the importance of regularly revising risk management strategies, controls, and policies in response to shifts in risk profiles, technological advancements, and insights gained from audits, assessments, incidents, and exercises. Meanwhile, Section I Article 6 (Statement 5) specifically addresses that the ICT risk management framework be formally documented and undergo an annual review. The review should also be performed regularly based on regulatory guidance, outcomes from digital resilience testing, and lessons learned from implementation and monitoring. Additionally, it requires that the results of this review be reported to the relevant regulatory body upon request.","ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",<div>IDENTIFY / Improvement / Plans Affecting Operations</div>,ID.IM-04.08,067.161
Chapter II: ICT risk management,Section I Article 6,DORA-06-06,"6. The ICT risk management framework of financial entities, other than microenterprises, shall be subject to internal audit by auditors on a regular basis in line with the financial entities’ audit plan. Those auditors shall possess sufficient knowledge, skills and expertise in ICT risk, as well as appropriate independence. The frequency and focus of ICT audits shall be commensurate to the ICT risk of the financial entity.",Semantic,Superset of,9,9,"The Profile requires an independent audit function that follows audit policies, procedures, and practices in compliance with the approved risk management framework but is non-specific in terms of regular internal audits performed by auditors with specific ICT risk expertise, with the frequency and focus of these audits tailored to the financial entity's level of ICT risk that Section I Article 6 (Statement 6) specifically addresses.","GV.AU-01.01: The organization has an independent audit function (i.e., internal audit group or external auditor) that follows generally accepted audit practices and approved audit policies and procedures.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.01,042.088
