,,"Australian Prudential Regulation Authority (APRA) Prudential
Standard CPS 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Standard CPS 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Standard CPS 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Standard CPS 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Standard CPS 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Standard CPS 234 Information Security to CRI Profile ver. 2.1 Mapping",,,
APRA CPS 234-15,Information security capability,15,"An APRA-regulated entity must maintain an information security capability commensurate with the size and extent of threats to its information assets, and which enables the continued sound operation of the entity.",Semantic,Intersects with,6,10,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07
APRA CPS 234-15,Information security capability,15,"An APRA-regulated entity must maintain an information security capability commensurate with the size and extent of threats to its information assets, and which enables the continued sound operation of the entity.",Semantic,Intersects with,6,10,"GV.PO-01.08: The organization maintains documented third-party risk management program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.08
APRA CPS 234-15,Information security capability,15,"An APRA-regulated entity must maintain an information security capability commensurate with the size and extent of threats to its information assets, and which enables the continued sound operation of the entity.",Semantic,Superset of,7,10,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.03
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"GV.SC-01.01: The organization maintains a third-party risk management strategy and program to identify and manage the risks associated with third parties throughout their lifecycles in a timely manner, including in support of sector-critical systems and operations, to ensure alignment within risk appetite.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,GV.SC-01.01
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"GV.SC-01.02: The organization regularly assesses the risk of its ongoing use of third parties in aggregate, considering factors such as critical service dependencies, vendor concentration, geographical/geopolitical exposure, fourth-party impacts, and financial sector co-dependencies.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,GV.SC-01.02
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"ID.AM-04.01: Hardware, software, and data assets maintained by or located at suppliers or other third parties are included in asset management inventories and lifecycle management processes as required for effective management and security.",IDENTIFY / Asset Management / Supplier Services Inventory,ID.AM-04.01
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"ID.AM-08.06: Minimum cybersecurity requirements for third-parties cover the entire relationship lifecycle, from the acquisition of data through the return or destruction of data, to include limitations on data use, access, storage, and geographic location.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.06
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.DD-02.04: The organization reviews and assesses the prospective third party's controls for managing its suppliers and subcontractors (fourth and nth parties), any proposed role fourth and nth parties will play in delivering the products or services, and any specific fourth- and nth-party controls or alternative arrangements the organization may require to protect its interests.",EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02.04
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.DD-03.01: The organization reviews, evaluates, and risk assesses a prospective critical third party's cybersecurity program, including its ability to identify, assess, monitor, and mitigate its cyber risks; the completeness of its policies and procedures; the strength of its technical and administrative controls; and the coverage of its internal and independent control testing programs.",EXTEND / Procurement Planning and Due Diligence / Technology & Cybersecurity Risk Assessment,EX.DD-03.01
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.DD-03.03: The organization reviews, evaluates, and risk assesses a prospective critical third party's incident response program, to include monitoring and alerting capabilities, incident reporting procedures and protocols, and capabilities for event analysis, problem resolution, and forensic investigation.",EXTEND / Procurement Planning and Due Diligence / Technology & Cybersecurity Risk Assessment,EX.DD-03.03
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.DD-04.02: The organization reviews and evaluates any technologies or information systems proposed to support a third party's services or activities, to include compatibility with the organization's technology and cybersecurity architectures, interactions and interfaces with existing systems, security controls, operational management and support requirements, and suitability to the task.",EXTEND / Procurement Planning and Due Diligence / Product & Service Due Diligence,EX.DD-04.02
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.CN-01.02: Contracts with suppliers address, as relevant to the product or service, the supplier's requirements for managing its own suppliers and partners (fourth parties) and the risks those fourth parties may pose to the third party and to the organization, to include fourth party due diligence, limitations on activities or geography, monitoring, notifications, liability and indemnifications, etc.",EXTEND / Third-Party Contracts and Agreements / Contract General Requirements,EX.CN-01.02
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.CN-02.01: The organization's contracts require third-parties to implement minimum technology and cybersecurity management requirements, to maintain those practices for the life of the relationship, and to provide evidence of compliance on an ongoing basis.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.01
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.CN-02.02: Minimum cybersecurity requirements for third-parties include requirements for incident and vulnerability notification, to include the types of events requiring notification, notification timeframes, and escalation protocols.",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02.02
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.MM-01.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to manage and monitor its third-party relationships to a degree and extent commensurate with the risk each third party poses to the organization and the criticality of the third party's products, services, and/or relationship to the organization.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.01
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.MM-01.02: The organization regularly evaluates its third party relationships to determine if changes in the organization's circumstances, objectives, or third party use warrant a change in a third party's risk rating (e.g., a less critical third-party relationship evolves into being a critical relationship).",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.02
APRA CPS 234-16,Information security capability,16,"Where information assets are managed by a related party or third party, the APRA-regulated entity must assess the information security capability of that party, commensurate with the potential consequences of an information security incident affecting those assets.",Semantic,Superset of,9,10,"EX.MM-01.03: The organization monitors for and regularly evaluates changes in a critical third party's business posture that could pose adverse risk to the organization (e.g., financial condition, reputation, adverse news, compliance/regulatory issues, key personnel, business relationships, consumer complaints, etc.)",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01.03
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,8,10,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,9,10,"GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GOVERN / Oversight / Risk Management Strategy Review & Adjustment,GV.OV-02.01
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,4,10,"ID.AM-05.02: The organization's hardware, software, and data assets are prioritized for protection based on their sensitivity, criticality, vulnerability, business value, and dependency role in the delivery of critical services.",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05.02
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,8,10,"ID.RA-01.01: The organization identifies, assesses, and documents risks and potential vulnerabilities associated with assets, to include workforce, data, technology, facilities, services, and connections.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.01
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,8,10,"ID.RA-01.03: The organization establishes and maintains standards and capabilities for ongoing vulnerability management, including systematic scans, or reviews reasonably designed to identify known cyber vulnerabilities and upgrade opportunities, across the organization's environments and assets.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01.03
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,8,10,"ID.RA-02.01: The organization participates actively (in alignment with its business operations, inherent risk, and complexity) in information-sharing groups and collectives (e.g., cross-industry, cross-government and cross-border groups) to gather, distribute and analyze information about cyber practices, cyber threats, and early warning indicators relating to cyber threats.",IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.01
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,8,10,"ID.RA-03.01: The organization, on an ongoing basis, identifies, analyzes, correlates, characterizes, and reports threats that are internal and external to the firm.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.01
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,8,10,"ID.RA-03.02: The organization solicits and considers threat intelligence received from the organization's stakeholders, service and utility providers, and other industry and security organizations.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.02
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,8,10,"ID.RA-03.03: The organization includes in its threat analysis those cyber threats which could trigger extreme but plausible cyber events, even if they are considered unlikely to occur or have never occurred in the past.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.03
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,8,10,"ID.RA-03.04: The organization regularly reviews and updates its threat analysis methodology, threat information sources, and supporting tools.",IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03.04
APRA CPS 234-17,Information security capability,17,"An APRA-regulated entity must actively maintain its information security capability with respect to changes in vulnerabilities and threats, including those resulting from changes to information assets or its business environment.",Semantic,Superset of,8,10,"ID.RA-05.02: The organization has established threat modeling capabilities to identify how and why critical assets might be compromised by a threat actor, what level of protection is needed for those critical assets, and what the impact would be if that protection failed.",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05.02
