FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,FFIEC Cybersecurity Assessment Tool (CAT) to CRI Profile ver. 2.1 Mapping,,
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,"D1.G.Ov.E.1: At least annually, the board or an appropriate board committee reviews and approves the institution’s cybersecurity program.",Evolving,Full Summarily,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GV.OV-01.01,GOVERN / Oversight / Risk Management Strategy Outcomes Review
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.E.2: Management is responsible for ensuring compliance with legal and regulatory requirements related to cybersecurity.,Evolving,Full,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.",GV.OC-03.01,"GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.E.3: Cybersecurity tools and staff are requested through the budget process.,Evolving,Full,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.E.4: There is a process to formally discuss and estimate potential expenses associated with cybersecurity incidents as part of the budgeting process.,Evolving,Full,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.1: The board or an appropriate board committee has cybersecurity expertise or engages experts to assist with oversight responsibilities.,Intermediate,Full,"PR.AT-02.08: Where the organization's governing authority (e.g., the Board or one of its committees) does not have adequate cybersecurity expertise, they should have direct access to the senior officer responsible for cybersecurity and independent sources of expertise to discuss cybersecurity related matters.",PR.AT-02.08,PROTECT / Awareness and Training / Specialized Role Awareness & Training
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.2: The standard board meeting package includes reports and metrics that go beyond events and incidents to address threat intelligence trends and the institution’s security posture.,Intermediate,Full,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GV.OV-03.01,GOVERN / Oversight / Risk Management Performance Measurement
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.3: The institution has a cyber risk appetite statement approved by the board or an appropriate board committee.,Intermediate,Full,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GV.RM-02.01,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.4: Cyber risks that exceed the risk appetite are escalated to management.,Intermediate,Full,"GV.RM-05.01: The organization has a process for monitoring its technology, cybersecurity, and third-party risks, including escalating those risks that exceed risk appetite to management and identifying risks with the potential to impact multiple operating units.",GV.RM-05.01,GOVERN / Risk Management Strategy / Lines of Communication
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.5: The board or an appropriate board committee ensures management’s annual cybersecurity self-assessment evaluates the institution’s ability to meet its cyber risk management standards.,Intermediate,Full Summarily,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GV.OV-01.01,GOVERN / Oversight / Risk Management Strategy Outcomes Review
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.5: The board or an appropriate board committee ensures management’s annual cybersecurity self-assessment evaluates the institution’s ability to meet its cyber risk management standards.,Intermediate,Full Summarily,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GV.OV-01.02,GOVERN / Oversight / Risk Management Strategy Outcomes Review
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.6: The board or an appropriate board committee reviews and approves management’s prioritization and resource allocation decisions based on the results of the cyber assessments.,Intermediate,Full Summarily,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.6: The board or an appropriate board committee reviews and approves management’s prioritization and resource allocation decisions based on the results of the cyber assessments.,Intermediate,Full Summarily,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GV.OV-01.01,GOVERN / Oversight / Risk Management Strategy Outcomes Review
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.6: The board or an appropriate board committee reviews and approves management’s prioritization and resource allocation decisions based on the results of the cyber assessments.,Intermediate,Full Summarily,"ID.RA-06.01: Technology and cybersecurity risk management programs and risk assessment processes produce actionable recommendations that the organization uses to select, design, prioritize, implement, maintain, evaluate, and modify cybersecurity and technology controls.",ID.RA-06.01,IDENTIFY / Risk Assessment / Risk Response Determination
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.7: The board or an appropriate board committee ensures management takes appropriate actions to address changing cyber risks or significant cybersecurity issues.,Intermediate,Full,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GV.OV-01.01,GOVERN / Oversight / Risk Management Strategy Outcomes Review
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Int.8: The budget process for requesting additional cybersecurity staff and tools is integrated into business units’ budget processes.,Intermediate,Full,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.1: The board or board committee approved cyber risk appetite statement is part of the enterprise-wide risk appetite statement.,Advanced,Full Summarily,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GV.RM-02.01,GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.1: The board or board committee approved cyber risk appetite statement is part of the enterprise-wide risk appetite statement.,Advanced,Full Summarily,"GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GV.OV-02.01,GOVERN / Oversight / Risk Management Strategy Review & Adjustment
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.2: Management has a formal process to continuously improve cybersecurity oversight.,Advanced,Full Summarily,GV.IR-02.01: The independent risk management function regularly evaluates the appropriateness of the technology and cybersecurity risk management programs to the organization's risk appetite and inherent risk environment,GV.IR-02.01,GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.2: Management has a formal process to continuously improve cybersecurity oversight.,Advanced,Full Summarily,"ID.IM-01.03: The organization establishes specific objectives, performance criteria, benchmarks, and tolerance limits to identify areas that have improved or are in need of improvement over time.",ID.IM-01.03,IDENTIFY / Improvement / Continuous Improvements Evaluation
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.2: Management has a formal process to continuously improve cybersecurity oversight.,Advanced,Full Summarily,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",ID.IM-01.04,IDENTIFY / Improvement / Continuous Improvements Evaluation
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.3: The budget process for requesting additional cybersecurity staff and tools maps current resources and tools to the cybersecurity strategy.,Advanced,Partial,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).",GV.RR-03.01,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.4: Management and the board or an appropriate board committee hold business units accountable for effectively managing all cyber risks associated with their activities.,Advanced,Full,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.",GV.RR-01.01,"GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility"
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.5: Management identifies root cause(s) when cyber attacks result in material loss.,Advanced,Full,"RS.AN-03.01: The organization performs a thorough investigation to determine the nature and scope of an event, possible root causes, and the potential damage inflicted.",RS.AN-03.01,RESPOND / Incident Analysis / Incident Analysis & Root Cause Determination
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.6: The board or an appropriate board committee ensures that management’s actions consider the cyber risks that the institution poses to the financial sector.,Advanced,Full Summarily,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GV.OC-02.02,GOVERN / Organizational Context / Stakeholder Risk Management Expectations
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.6: The board or an appropriate board committee ensures that management’s actions consider the cyber risks that the institution poses to the financial sector.,Advanced,Full Summarily,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GV.RM-09.02,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.A.6: The board or an appropriate board committee ensures that management’s actions consider the cyber risks that the institution poses to the financial sector.,Advanced,Full Summarily,ID.IM-04.06: The organization has established and implemented plans to identify and mitigate the cyber risks it poses through interconnectedness to sector partners and external stakeholders.,ID.IM-04.06,IDENTIFY / Improvement / Plans Affecting Operations
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Inn.1: The board or an appropriate board committee discusses ways for management to develop cybersecurity improvements that may be adopted sector-wide.,Innovative,Partial,"ID.IM-01.03: The organization establishes specific objectives, performance criteria, benchmarks, and tolerance limits to identify areas that have improved or are in need of improvement over time.",ID.IM-01.03,IDENTIFY / Improvement / Continuous Improvements Evaluation
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,D1.G.Ov.Inn.1: The board or an appropriate board committee discusses ways for management to develop cybersecurity improvements that may be adopted sector-wide.,Innovative,Partial,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",ID.IM-01.04,IDENTIFY / Improvement / Continuous Improvements Evaluation
1: Cyber Risk Management & Oversight / 1: Governance / 1: Oversight,"D1.G.Ov.Inn.2: The board or an appropriate board committee verifies that management’s actions consider the cyber risks that the institution poses to other critical infrastructures (e.g., telecommunications, energy).",Innovative,Full,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,GV.OC-02.03,GOVERN / Organizational Context / Stakeholder Risk Management Expectations
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,"D1.G.SP.B.1: The institution has an information security strategy that integrates technology, policies, procedures, and training to mitigate risk.",Baseline,Full Summarily,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GV.RM-01.01,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,"D1.G.SP.B.1: The institution has an information security strategy that integrates technology, policies, procedures, and training to mitigate risk.",Baseline,Full Summarily,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",ID.RA-06.03,IDENTIFY / Risk Assessment / Risk Response Determination
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.B.2: The institution has policies commensurate with its risk and complexity that address the concepts of information technology risk management.,Baseline,Full,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.",GV.PO-01.01,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures"
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.B.3: The institution has policies commensurate with its risk and complexity that address the concepts of threat information sharing.,Baseline,Full Summarily,"ID.RA-02.01: The organization participates actively (in alignment with its business operations, inherent risk, and complexity) in information-sharing groups and collectives (e.g., cross-industry, cross-government and cross-border groups) to gather, distribute and analyze information about cyber practices, cyber threats, and early warning indicators relating to cyber threats.",ID.RA-02.01,IDENTIFY / Risk Assessment / Information Sharing Forums
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.B.3: The institution has policies commensurate with its risk and complexity that address the concepts of threat information sharing.,Baseline,Full Summarily,"DE.AE-06.01: The organization has established processes and protocols to communicate, alert, and regularly report potential cyber attacks and incident information, including its corresponding analysis and cyber threat intelligence, to authorized internal and external stakeholders.",DE.AE-06.01,DETECT / Adverse Event Analysis / Event Information Sharing
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.B.4: The institution has board-approved policies commensurate with its risk and complexity that address information security.,Baseline,Full,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.",GV.PO-01.01,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures"
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.B.5: The institution has policies commensurate with its risk and complexity that address the concepts of external dependency or third-party management.,Baseline,Full,"GV.PO-01.08: The organization maintains documented third-party risk management program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).",GV.PO-01.08,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures"
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.B.6: The institution has policies commensurate with its risk and complexity that address the concepts of incident response and resilience.,Baseline,Full,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GV.RM-09.01,GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.B.7: All elements of the information security program are coordinated enterprise-wide.,Baseline,Full,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GV.RM-01.01,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.E.1: The institution augmented its information security strategy to incorporate cybersecurity and resilience.,Evolving,Full,"GV.RM-01.05: The organization's technology, cybersecurity, resilience, and third-party risk management programs, policies, resources, and priorities are aligned and mutually supporting.",GV.RM-01.05,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.E.2: The institution has a formal cybersecurity program that is based on technology and security industry standards or benchmarks.,Evolving,Full,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",GV.RM-01.02,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.E.3: A formal process is in place to update policies as the institution’s inherent risk profile changes.,Evolving,Full,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GV.PO-02.01,"GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update"
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Int.1: The institution has a comprehensive set of policies commensurate with its risk and complexity that address the concepts of threat intelligence.,Intermediate,Full Summarily,"ID.RA-03.02: The organization solicits and considers threat intelligence received from the organization's stakeholders, service and utility providers, and other industry and security organizations.",ID.RA-03.02,IDENTIFY / Risk Assessment / Threat Identification
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Int.1: The institution has a comprehensive set of policies commensurate with its risk and complexity that address the concepts of threat intelligence.,Intermediate,Full Summarily,"ID.RA-05.01: Threats, vulnerabilities, likelihoods, and impacts are used to determine overall technology, cybersecurity, and resilience risk to the organization.",ID.RA-05.01,IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Int.1: The institution has a comprehensive set of policies commensurate with its risk and complexity that address the concepts of threat intelligence.,Intermediate,Full Summarily,"ID.RA-05.02: The organization has established threat modeling capabilities to identify how and why critical assets might be compromised by a threat actor, what level of protection is needed for those critical assets, and what the impact would be if that protection failed.",ID.RA-05.02,IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Int.1: The institution has a comprehensive set of policies commensurate with its risk and complexity that address the concepts of threat intelligence.,Intermediate,Full Summarily,"ID.IM-04.08: The organization regularly reviews response strategy, incident management plans, recovery plans, and associated tests and exercises and updates them, as necessary, based on:
(1) Lessons learned from incidents that have occurred (both internal and external to the organization);
(2) Current cyber threat intelligence (both internal and external sources);
(3) Recent and wide-scale cyber attack scenarios;
(4) Operationally and technically plausible future cyber attacks;
(5) Organizational or technical environment changes; and,
(6) New technological developments.",ID.IM-04.08,IDENTIFY / Improvement / Plans Affecting Operations
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Int.1: The institution has a comprehensive set of policies commensurate with its risk and complexity that address the concepts of threat intelligence.,Intermediate,Full Summarily,"RS.CO-03.01: The organization ensures that cyber threat intelligence is made available, in a secure manner, to authorized staff with responsibility for the mitigation of cyber risks at the strategic, tactical and operational levels within the organization.",RS.CO-03.01,RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Int.2: Management periodically reviews the cybersecurity strategy to address evolving cyber threats and changes to the institution’s inherent risk profile.,Intermediate,Full,"GV.OV-02.01: The organization regularly assesses its inherent technology and cybersecurity risks and ensures that changes to the business and threat environment lead to updates to the organization's strategies, programs, risk appetite and risk tolerance.",GV.OV-02.01,GOVERN / Oversight / Risk Management Strategy Review & Adjustment
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,"D1.G.SP.Int.3: The cybersecurity strategy is incorporated into, or conceptually fits within, the institution’s enterprise-wide risk management strategy.",Intermediate,Full,GV.RM-03.01: Technology and cybersecurity risk management frameworks and programs are integrated into the enterprise risk management framework.,GV.RM-03.01,GOVERN / Risk Management Strategy / Enterprise Risk Integration
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Int.4: Management links strategic cybersecurity objectives to tactical goals.,Intermediate,Full Summarily,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GV.OC-01.01,GOVERN / Organizational Context / Organizational Mission
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Int.4: Management links strategic cybersecurity objectives to tactical goals.,Intermediate,Full Summarily,"GV.RM-03.04: Technology and cybersecurity risk management considerations are integrated into daily operations, cultural norms, management discussions, and management decision-making, and are tailored to address enterprise-specific risks (both internal and external).",GV.RM-03.04,GOVERN / Risk Management Strategy / Enterprise Risk Integration
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.Int.5: A formal process is in place to cross-reference and simultaneously update all policies related to cyber risks across business lines.,Intermediate,Partial,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GV.PO-02.01,"GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update"
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.A.1: The cybersecurity strategy outlines the institution’s future state of cybersecurity with short-term and long-term perspectives.,Advanced,Full,"GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GV.OC-01.01,GOVERN / Organizational Context / Organizational Mission
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.A.2: Industry-recognized cybersecurity standards are used as sources during the analysis of cybersecurity program gaps.,Advanced,Full,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",GV.RM-01.02,GOVERN / Risk Management Strategy / Risk Management Objectives Agreement
1: Cyber Risk Management & Oversight / 1: Governance / 2: Strategy / Policies,D1.G.SP.A.3: The cybersecurity strategy identifies and communicates the institution’s role as a component of critical infrastructure in the financial services industry.,Advanced,Full,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GV.OC-02.02,GOVERN / Organizational Context / Stakeholder Risk Management Expectations
