,,"Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping","Australian Prudential Regulation Authority (APRA) Prudential
Practice Guide CPG 234 Information Security to CRI Profile ver. 2.1 Mapping",,,
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,8,10,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,8,10,"GV.OV-01.01: The governing authority (e.g., the Board or one of its committees) regularly reviews and evaluates the organization's ability to manage its technology, cybersecurity, third-party, and resilience risks.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.01
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,8,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,8,10,"GV.OV-01.03: The designated Technology Officer (e.g., CIO or CTO) regularly reports to the governing authority (e.g., the Board or one of its committees) on the status of technology use and risks within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.03
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,8,10,"GV.OV-02.02: The organization determines and articulates how it intends to maintain an acceptable level of residual technology and cybersecurity risk as set by the governing authority (e.g., the Board or one of its committees).",GOVERN / Oversight / Risk Management Strategy Review & Adjustment,GV.OV-02.02
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,8,10,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.01
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,8,10,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.02
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,8,10,"ID.IM-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management are involved in testing as part of a crisis management team and are informed of test results.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.07
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,9,10,RS.MA-05.01: The organization's incident response plans define severity levels and associated criteria for initiating response plans and escalating event response to appropriate stakeholders and management levels.,RESPOND / Incident Management / Recovery Initiation,RS.MA-05.01
APRA CPG 234-10,Roles and responsibilities,Board delegations,10,"APRA does not seek to impose restrictions on a Board’s ability to delegate information security roles and responsibilities to Board sub-committees, management committees or individuals. However, APRA expects that a Board would clearly outline how it expects to be engaged with respect to information security, including escalation of risks, issues and reporting. ",Semantic,Superset of,9,10,"RS.CO-02.01: The organization's incident response program includes defined and approved escalation protocols, linked to organizational decision levels and communication strategies, including which types of information will be shared, with whom (e.g., the organization's governing authority and senior management), and how information provided to the organization will be acted upon.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.01
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,7,9,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,7,9,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,7,9,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,9,9,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.04
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,9,9,"GV.RR-01.05: The organization designates a qualified Technology Officer (e.g., CIO or CTO) who is responsible and accountable for developing technology strategy, overseeing and implementing its technology program, and enforcing its technology policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.05
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,9,9,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,9,9,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,8,9,"GV.RR-02.03: Resilience program roles and responsibilities are assigned to management across the organization to ensure risk assessment, planning, testing, and execution coverage for all critical business functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.03
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,8,9,GV.RR-02.04: Roles and responsibilities for the Third-Party Risk Management Program and for each third-party engagement are defined and assigned.,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.04
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,7,9,GV.RR-02.05: Personnel (employees and third parties) who fulfill the organization’s physical security and cybersecurity objectives understand their roles and responsibilities.,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.05
APRA CPG 234-11,Roles and responsibilities,Clearly defined roles and responsibilities ,11,"Definition of information security-related roles and responsibilities is typically achieved through a combination of role statements, policy statements, reporting lines and charters of governing bodies. Common governing bodies and individuals with decision-making, approval, oversight, operations and other information security roles and responsibilities typically include: 
a)  information security steering/oversight committee; 
b)  risk management committee (Board and management levels); 
c)  Board audit committee; 
d)  executive management/executive management committee; 
e) chief information officer (CIO)/IT manager; 
f)  chief information security officer (CISO)/IT security manager; 
g)  information security operations/administration; and 
h)  management (business and IT). ",Semantic,Superset of,7,9,"GV.RR-02.06: Roles and responsibilities for the inventory, ownership, and custodianship of applications, data and other technology assets are established and maintained.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.06
APRA CPG 234-12,Roles and responsibilities,Clearly defined roles and responsibilities ,12,"Information security roles and responsibilities are typically located in separate business areas, as well as within the IT function itself and in third parties and related parties. This can result in issues such as a lack of ownership, unclear accountabilities, ineffective oversight and fragmentation of practices with respect to information security. APRA-regulated entities could address these issues by maintaining clear delineation between the responsibilities of each area and implementing compensating measures. Compensating measures could include establishing a virtual security group comprised of individuals with information security roles and responsibilities. ",Semantic,Superset of,8,10,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01
APRA CPG 234-12,Roles and responsibilities,Clearly defined roles and responsibilities ,12,"Information security roles and responsibilities are typically located in separate business areas, as well as within the IT function itself and in third parties and related parties. This can result in issues such as a lack of ownership, unclear accountabilities, ineffective oversight and fragmentation of practices with respect to information security. APRA-regulated entities could address these issues by maintaining clear delineation between the responsibilities of each area and implementing compensating measures. Compensating measures could include establishing a virtual security group comprised of individuals with information security roles and responsibilities. ",Semantic,Superset of,7,10,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02
APRA CPG 234-12,Roles and responsibilities,Clearly defined roles and responsibilities ,12,"Information security roles and responsibilities are typically located in separate business areas, as well as within the IT function itself and in third parties and related parties. This can result in issues such as a lack of ownership, unclear accountabilities, ineffective oversight and fragmentation of practices with respect to information security. APRA-regulated entities could address these issues by maintaining clear delineation between the responsibilities of each area and implementing compensating measures. Compensating measures could include establishing a virtual security group comprised of individuals with information security roles and responsibilities. ",Semantic,Superset of,8,10,GV.RR-02.05: Personnel (employees and third parties) who fulfill the organization’s physical security and cybersecurity objectives understand their roles and responsibilities.,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.05
APRA CPG 234-12,Roles and responsibilities,Clearly defined roles and responsibilities ,12,"Information security roles and responsibilities are typically located in separate business areas, as well as within the IT function itself and in third parties and related parties. This can result in issues such as a lack of ownership, unclear accountabilities, ineffective oversight and fragmentation of practices with respect to information security. APRA-regulated entities could address these issues by maintaining clear delineation between the responsibilities of each area and implementing compensating measures. Compensating measures could include establishing a virtual security group comprised of individuals with information security roles and responsibilities. ",Semantic,Superset of,8,10,"GV.RR-02.06: Roles and responsibilities for the inventory, ownership, and custodianship of applications, data and other technology assets are established and maintained.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.06
APRA CPG 234-12,Roles and responsibilities,Clearly defined roles and responsibilities ,12,"Information security roles and responsibilities are typically located in separate business areas, as well as within the IT function itself and in third parties and related parties. This can result in issues such as a lack of ownership, unclear accountabilities, ineffective oversight and fragmentation of practices with respect to information security. APRA-regulated entities could address these issues by maintaining clear delineation between the responsibilities of each area and implementing compensating measures. Compensating measures could include establishing a virtual security group comprised of individuals with information security roles and responsibilities. ",Semantic,Superset of,7,10,"GV.RR-02.07: Technology and cybersecurity risk management frameworks provide for segregation of duties between policy development, implementation, and oversight.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.07
APRA CPG 234-12,Roles and responsibilities,Clearly defined roles and responsibilities ,12,"Information security roles and responsibilities are typically located in separate business areas, as well as within the IT function itself and in third parties and related parties. This can result in issues such as a lack of ownership, unclear accountabilities, ineffective oversight and fragmentation of practices with respect to information security. APRA-regulated entities could address these issues by maintaining clear delineation between the responsibilities of each area and implementing compensating measures. Compensating measures could include establishing a virtual security group comprised of individuals with information security roles and responsibilities. ",Semantic,Superset of,7,10,"GV.SC-02.01: The organization clearly defines, and includes in contractual agreements, the division of cybersecurity and technology risk management responsibilities between the organization and its third parties (e.g., a Shared Responsibilities Model).",GOVERN / Supply Chain Risk Management / Third Party Roles & Responsibilities,GV.SC-02.01
APRA CPG 234-13,Roles and responsibilities,Sufficient and timely information ,13,"The Board, governing bodies and individuals would typically define their information requirements (e.g. schedule, format, scope and content) to ensure they are provided with sufficient and timely information to effectively discharge their information security roles and responsibilities. Reporting to governing bodies would normally be supported by defined escalation paths and thresholds. An APRA-regulated entity could benefit from implementing processes for periodic review of audience relevance and fitness for use. ",Semantic,Superset of,6,10,"GV.RR-02.02: The organization has established and assigned roles and responsibilities for systematic cybersecurity threat identification, monitoring, detection, and event reporting processes, and ensures adequate coverage and organizational alignment for these functions.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.02
APRA CPG 234-13,Roles and responsibilities,Sufficient and timely information ,13,"The Board, governing bodies and individuals would typically define their information requirements (e.g. schedule, format, scope and content) to ensure they are provided with sufficient and timely information to effectively discharge their information security roles and responsibilities. Reporting to governing bodies would normally be supported by defined escalation paths and thresholds. An APRA-regulated entity could benefit from implementing processes for periodic review of audience relevance and fitness for use. ",Semantic,Superset of,7,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.01
APRA CPG 234-13,Roles and responsibilities,Sufficient and timely information ,13,"The Board, governing bodies and individuals would typically define their information requirements (e.g. schedule, format, scope and content) to ensure they are provided with sufficient and timely information to effectively discharge their information security roles and responsibilities. Reporting to governing bodies would normally be supported by defined escalation paths and thresholds. An APRA-regulated entity could benefit from implementing processes for periodic review of audience relevance and fitness for use. ",Semantic,Superset of,7,10,"ID.IM-01.02: The organization implements a regular process to collect, store, report, benchmark, and assess trends in actionable performance indicators and risk metrics (e.g., threat KRIs, security incident metrics, vulnerability metrics, and operational measures).",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.02
APRA CPG 234-13,Roles and responsibilities,Sufficient and timely information ,13,"The Board, governing bodies and individuals would typically define their information requirements (e.g. schedule, format, scope and content) to ensure they are provided with sufficient and timely information to effectively discharge their information security roles and responsibilities. Reporting to governing bodies would normally be supported by defined escalation paths and thresholds. An APRA-regulated entity could benefit from implementing processes for periodic review of audience relevance and fitness for use. ",Semantic,Superset of,7,10,"ID.IM-01.03: The organization establishes specific objectives, performance criteria, benchmarks, and tolerance limits to identify areas that have improved or are in need of improvement over time.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.03
APRA CPG 234-13,Roles and responsibilities,Sufficient and timely information ,13,"The Board, governing bodies and individuals would typically define their information requirements (e.g. schedule, format, scope and content) to ensure they are provided with sufficient and timely information to effectively discharge their information security roles and responsibilities. Reporting to governing bodies would normally be supported by defined escalation paths and thresholds. An APRA-regulated entity could benefit from implementing processes for periodic review of audience relevance and fitness for use. ",Semantic,Superset of,7,10,"ID.IM-01.04: Technology and cybersecurity programs include elements designed to assess, manage, and continually improve the quality of program delivery in addressing stakeholder requirements and risk reduction.",IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01.04
