,,,"NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)","NIST Cybersecurity Framework (CSF) ver. 2.0 (Feb. 2024) 
to CRI Profile ver. 2.1 Mapping (Functions, Categories, Subcategories)",,
32,GV.SC-02,S,"GV.SC-02: Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",Semantic,subset of,(CRI Modified),"GV.SC-02: Roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",GOVERN / Supply Chain Risk Management / Third Party Roles & Responsibilities,GV.SC-02
33,GV.SC-03,S,"GV.SC-03: Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",Semantic,subset of,(CRI Modified),"GV.SC-03: Supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Integration,GV.SC-03
34,GV.SC-04,S,GV.SC-04: Suppliers are known and prioritized by criticality,Syntactic,equal,Same,GV.SC-04: Suppliers are known and prioritized by criticality,GOVERN / Supply Chain Risk Management / Supplier Identification & Prioritization,GV.SC-04
35,GV.SC-05,S,"GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Functional,subset of,(CRI Expanded),Third-Party Contracts and Agreements (EX.CN): Contracts establish baseline protections to manage risk over the life of the third-party relationship,EXTEND / Third-Party Contracts and Agreements,EX.CN
36,GV.SC-05,S,"GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Functional,subset of,(CRI Expanded),EX.CN-01: Contracts clearly specify the rights and responsibilities of each party and establish requirements to address the anticipated risks posed by a third party over the life of the relationship,EXTEND / Third-Party Contracts and Agreements / Contract General Requirements,EX.CN-01
37,GV.SC-05,S,"GV.SC-05: Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",Functional,subset of,(CRI Expanded),"EX.CN-02: Expected cybersecurity practices for critical third parties that meet the risk management objectives of the organization are identified, documented, and agreed",EXTEND / Third-Party Contracts and Agreements / Contract Cybersecurity-Related Requirements,EX.CN-02
38,GV.SC-06,S,GV.SC-06: Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,Functional,subset of,(CRI Expanded),Procurement Planning and Due Diligence (EX.DD): Planning and due diligence are performed to reduce risks before entering into a formal third-party relationship,EXTEND / Procurement Planning and Due Diligence,EX.DD
39,GV.SC-06,S,GV.SC-06: Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,Functional,subset of,(CRI Expanded),EX.DD-01: Planning is performed for procurements and agreements that involve elevated risk to the organization,EXTEND / Procurement Planning and Due Diligence / Procurement Planning,EX.DD-01
40,GV.SC-06,S,GV.SC-06: Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,Functional,subset of,(CRI Expanded),"EX.DD-02: The organization performs thorough due diligence on prospective third parties, consistent with procurement planning and commensurate with the level of risk, criticality, and complexity of each third-party relationship",EXTEND / Procurement Planning and Due Diligence / Prospective Third Party Due Diligence,EX.DD-02
41,GV.SC-07,S,"GV.SC-07: The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",Functional,subset of,(CRI Expanded),Monitoring and Managing Suppliers (EX.MM): The risks posed by a third-party are monitored and managed over the course of the relationship,EXTEND / Monitoring and Managing Suppliers,EX.MM
42,GV.SC-07,S,"GV.SC-07: The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",Functional,subset of,(CRI Expanded),"EX.MM-01: Critical suppliers and third parties are monitored to confirm that they continue to satisfy their obligations as required; reviews of audits, test results, or other assessments of third parties are conducted",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,EX.MM-01
43,GV.SC-07,S,"GV.SC-07: The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",Functional,subset of,(CRI Expanded),EX.MM-02: Inter-dependent and coordinated cybersecurity risk management practices with third parties are managed to ensure ongoing effectiveness,EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,EX.MM-02
44,GV.SC-08,S,"GV.SC-08: Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",Semantic,subset of,Same,"GV.SC-08: Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration,GV.SC-08
45,GV.SC-09,S,"GV.SC-09: Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",Semantic,subset of,(CRI Modified),"GV.SC-09: Supply chain security practices are integrated into technology, cybersecurity, and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",GOVERN / Supply Chain Risk Management / Supply Chain Security Practice Integration,GV.SC-09
46,GV.SC-10,S,GV.SC-10: Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Functional,subset of,(CRI Expanded),"Relationship Termination (EX.TR): Relationship termination is anticipated, planned for, and executed safely",EXTEND / Relationship Termination,EX.TR
47,GV.SC-10,S,GV.SC-10: Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Functional,subset of,(CRI Expanded),EX.TR-01: The organization anticipates and plans for the termination of critical relationships under both normal and adverse circumstances,EXTEND / Relationship Termination / Termination Planning,EX.TR-01
48,GV.SC-10,S,GV.SC-10: Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Functional,subset of,(CRI Expanded),EX.TR-02: Relationship terminations and the return or destruction of assets are performed in a controlled and safe manner,EXTEND / Relationship Termination / Termination Practices,EX.TR-02
49,GV.IR,C,None,,not related to,(CRI Addition),Independent Risk Management Function (GV.IR): The organization has an independent risk management function,GOVERN / Independent Risk Management Function,GV.IR
50,GV.IR-01,S,None,,not related to,(CRI Addition),GV.IR-01: The independent risk management function provides assurance that the technology and cybersecurity risk management frameworks have been implemented according to policy and are consistent with the organization's risk appetite and tolerance,GOVERN / Independent Risk Management Function / Independent Risk Management Function,GV.IR-01
51,GV.IR-02,S,None,,not related to,(CRI Addition),GV.IR-02: The independent risk management function evaluates the appropriateness of the risk management program for the organization's risk appetite and proposes program improvements as warranted,GOVERN / Independent Risk Management Function / Independent Risk Management Evaluation,GV.IR-02
52,GV.IR-03,S,None,,not related to,(CRI Addition),"GV.IR-03: The independent risk management function reports on the implementation of the technology and cybersecurity risk management frameworks to the governing authority (e.g., the Board or one of its committees)",GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,GV.IR-03
53,GV.AU,C,None,,not related to,(CRI Addition),Independent Audit Function (GV.AU): The organization has an independent audit function to support oversight of the technology and cybersecurity programs,GOVERN / Independent Audit Function,GV.AU
54,GV.AU-01,S,None,,not related to,(CRI Addition),GV.AU-01: The independent audit function assesses compliance with internal controls and applicable laws and regulations,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01
55,GV.AU-02,S,None,,not related to,(CRI Addition),GV.AU-02: The independent audit function updates its procedures and audit plans to adjust to the evolving technology and cybersecurity environment,GOVERN / Independent Audit Function / Independent Audit Procedures,GV.AU-02
56,GV.AU-03,S,None,,not related to,(CRI Addition),"GV.AU-03: The independent audit function identifies, tracks, and reports significant changes in the organization's risk exposure to the governing authority (e.g., the Board or one of its committees)",GOVERN / Independent Audit Function / Independent Audit Reporting,GV.AU-03
57,ID,F,IDENTIFY (ID): The organization's current cybersecurity risks are understood,Semantic,subset of,(CRI Modified),IDENTIFY (ID): The organization's current technology and cybersecurity risks are understood,IDENTIFY,ID
58,ID.AM,C,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",Semantic,subset of,Same,"Asset Management (ID.AM): Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",IDENTIFY / Asset Management,ID.AM
59,ID.AM-01,S,ID.AM-01: Inventories of hardware managed by the organization are maintained,Syntactic,equal,Same,ID.AM-01: Inventories of hardware managed by the organization are maintained,IDENTIFY / Asset Management / Hardware Inventory,ID.AM-01
60,ID.AM-02,S,"ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained",Syntactic,equal,Same,"ID.AM-02: Inventories of software, services, and systems managed by the organization are maintained","IDENTIFY / Asset Management / Software, Services, & Systems Inventory",ID.AM-02
61,ID.AM-03,S,ID.AM-03: Representations of the organization's authorized network communication and internal and external network data flows are maintained,Syntactic,equal,Same,ID.AM-03: Representations of the organization’s authorized network communication and internal and external network data flows are maintained,IDENTIFY / Asset Management / Network Communications & Data Flows,ID.AM-03
62,ID.AM-04,S,ID.AM-04: Inventories of services provided by suppliers are maintained,Syntactic,equal,Same,ID.AM-04: Inventories of services provided by suppliers are maintained,IDENTIFY / Asset Management / Supplier Services Inventory,ID.AM-04
63,ID.AM-05,S,"ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission",Syntactic,equal,Same,"ID.AM-05: Assets are prioritized based on classification, criticality, resources, and impact on the mission",IDENTIFY / Asset Management / Asset Protection Prioritization,ID.AM-05
64,ID.AM-07,S,ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,Syntactic,equal,Same,ID.AM-07: Inventories of data and corresponding metadata for designated data types are maintained,IDENTIFY / Asset Management / Data & Metadata Inventory,ID.AM-07
65,ID.AM-08,S,"ID.AM-08: Systems, hardware, software, services, and data are managed throughout their life cycles",Semantic,subset of,Same,"ID.AM-08: Systems, hardware, software, services, and data are managed throughout their life cycles",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08
66,ID.RA,C,"Risk Assessment (ID.RA): The cybersecurity risk to the organization, assets, and individuals is understood by the organization",Semantic,subset of,(CRI Modified),"Risk Assessment (ID.RA): The technology and cybersecurity risks to the organization, assets, and individuals are understood by the organization",IDENTIFY / Risk Assessment,ID.RA
67,ID.RA-01,S,"ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",Syntactic,equal,Same,"ID.RA-01: Vulnerabilities in assets are identified, validated, and recorded",IDENTIFY / Risk Assessment / Asset Vulnerability Identification,ID.RA-01
68,ID.RA-02,S,ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,Syntactic,equal,Same,ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02
69,ID.RA-03,S,ID.RA-03: Internal and external threats to the organization are identified and recorded,Semantic,subset of,Same,ID.RA-03: Internal and external threats to the organization are identified and recorded,IDENTIFY / Risk Assessment / Threat Identification,ID.RA-03
70,ID.RA-04,S,ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,Semantic,subset of,Same,ID.RA-04: Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,IDENTIFY / Risk Assessment / Impact & Likelihood Analysis,ID.RA-04
71,ID.RA-05,S,"ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",Semantic,subset of,Same,"ID.RA-05: Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",IDENTIFY / Risk Assessment / Risk Exposure Determination & Prioritization,ID.RA-05
72,ID.RA-06,S,"ID.RA-06: Risk responses are chosen, prioritized, planned, tracked, and communicated",Semantic,subset of,Same,"ID.RA-06: Risk responses are chosen, prioritized, planned, tracked, and communicated",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06
73,ID.RA-07,S,"ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked",Semantic,subset of,Same,"ID.RA-07: Changes and exceptions are managed, assessed for risk impact, recorded, and tracked",IDENTIFY / Risk Assessment / Change & Exception Management,ID.RA-07
74,ID.RA-08,S,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established",Syntactic,equal,Same,"ID.RA-08: Processes for receiving, analyzing, and responding to vulnerability disclosures are established",IDENTIFY / Risk Assessment / Vulnerability Disclosure Response,ID.RA-08
75,ID.RA-09,S,ID.RA-09: The authenticity and integrity of hardware and software are assessed prior to acquisition and use,Functional,subset of,(CRI Expanded),"EX.DD-04: Third-party products and services are assessed relative to business, risk management, and cybersecurity requirements",EXTEND / Procurement Planning and Due Diligence / Product & Service Due Diligence,EX.DD-04
76,ID.RA-10,S,ID.RA-10: Critical suppliers are assessed prior to acquisition,Functional,subset of,(CRI Expanded),EX.DD-03: The organization assesses the risks and suitability of the technology and cybersecurity capabilities and risk management practices of prospective third parties,EXTEND / Procurement Planning and Due Diligence / Technology & Cybersecurity Risk Assessment,EX.DD-03
77,ID.IM,C,"Improvement (ID.IM): Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions",Semantic,subset of,(CRI Modified),"Improvement (ID.IM): Improvements to organizational technology and cybersecurity risk management processes, procedures and activities are identified across all Profile Functions",IDENTIFY / Improvement,ID.IM
78,ID.IM-01,S,ID.IM-01: Improvements are identified from evaluations,Semantic,subset of,Same,ID.IM-01: Improvements are identified from evaluations,IDENTIFY / Improvement / Continuous Improvements Evaluation,ID.IM-01
79,ID.IM-02,S,"ID.IM-02: Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",Semantic,subset of,(CRI Modified),"ID.IM-02: Improvements are identified from tests and exercises, including those done in coordination with suppliers and relevant third parties",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02
80,ID.IM-03,S,"ID.IM-03: Improvements are identified from execution of operational processes, procedures, and activities",Semantic,subset of,Same,"ID.IM-03: Improvements are identified from execution of operational processes, procedures, and activities",IDENTIFY / Improvement / Improvements from Lessons Learned,ID.IM-03
81,ID.IM-04,S,"ID.IM-04: Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved",Functional,intersects with,(CRI Modified),"ID.IM-04: ID.IM-04: Response and recovery plans (e.g., incident response plan, business continuity plan, disaster recovery plan, etc.) are established, communicated, maintained, and improved",IDENTIFY / Improvement / Plans Affecting Operations,ID.IM-04
82,PR,F,PROTECT (PR): Safeguards to manage the organization's cybersecurity risks are used,Semantic,subset of,(CRI Modified),PROTECT (PR): Safeguards to manage the organization's technology and cybersecurity risks are used,PROTECT,PR
83,PR.AA,C,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and managed commensurate with the assessed risk of unauthorized access",Syntactic,equal,Same,"Identity Management, Authentication, and Access Control (PR.AA): Access to physical and logical assets is limited to authorized users, services, and hardware and managed commensurate with the assessed risk of unauthorized access","PROTECT / Identity Management, Authentication, and Access Control",PR.AA
84,PR.AA-01,S,"PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization",Syntactic,equal,Same,"PR.AA-01: Identities and credentials for authorized users, services, and hardware are managed by the organization","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management",PR.AA-01
85,PR.AA-02,S,PR.AA-02: Identities are proofed and bound to credentials based on the context of interactions,Syntactic,equal,Same,PR.AA-02: Identities are proofed and bound to credentials based on the context of interactions,"PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",PR.AA-02
86,PR.AA-03,S,"PR.AA-03: Users, services, and hardware are authenticated",Syntactic,equal,Same,"PR.AA-03: Users, services, and hardware are authenticated","PROTECT / Identity Management, Authentication, and Access Control / Authentication",PR.AA-03
87,PR.AA-04,S,"PR.AA-04: Identity assertions are protected, conveyed, and verified",Syntactic,equal,Same,"PR.AA-04: Identity assertions are protected, conveyed, and verified","PROTECT / Identity Management, Authentication, and Access Control / Identity Assertions",PR.AA-04
88,PR.AA-05,S,"PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",Syntactic,equal,Same,"PR.AA-05: Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",PR.AA-05
