,,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,National Association of Insurance Commissioners (NAIC) Insurance Data Security Model Law (IDSML) to CRI Profile ver. 2.1 Mapping,,,,,,,,,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Intersects with,9,10,"GV.RM-09.01: The organization has an enterprise-wide resilience strategy and program, including architecture, cyber resilience, business continuity, disaster recovery, and incident response, which support its mission, stakeholder obligations, critical infrastructure role, and risk appetite.",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,017.039,GV.RM-09.01,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Superset of,9,10,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.059,GV.PO-01.01,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Superset of,9,10,"GV.PO-01.05: Technology and cybersecurity processes, procedures, and controls are established in alignment with cybersecurity policy.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.063,GV.PO-01.05,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Superset of,9,10,GV.PO-01.06: Physical and environmental security policies are implemented and managed.,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.064,GV.PO-01.06,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Intersects with,9,10,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.065,GV.PO-01.07,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Superset of,9,10,"GV.PO-01.08: The organization maintains documented third-party risk management program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.066,GV.PO-01.08,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Superset of,9,10,"GV.PO-02.01: The cybersecurity policy is regularly reviewed, revised, and communicated under the leadership of a designated Cybersecurity Officer (e.g., CISO) to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.","GOVERN / Policies, Processes, and Procedures / Policy & Procedure Review & Update",025.067,GV.PO-02.01,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Intersects with,9,10,"GV.SC-01.01: The organization maintains a third-party risk management strategy and program to identify and manage the risks associated with third parties throughout their lifecycles in a timely manner, including in support of sector-critical systems and operations, to ensure alignment within risk appetite.",GOVERN / Supply Chain Risk Management / Supply Chain Risk Management Program,031.075,GV.SC-01.01,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Superset of,9,10,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,060.127,ID.RA-06.03,
NAIC-IDSML-01,Section 4,Information Security Program,A. Implementation of an Information Security Program,"Commensurate with the size and complexity of the Licensee, the nature and scope of the Licensee’s activities, including its use of Third-Party Service Providers, and the sensitivity of the Nonpublic Information used by the Licensee or in the Licensee’s possession, custody or control, each Licensee shall develop, implement, and maintain a comprehensive written Information Security Program based on the Licensee’s Risk Assessment and that contains administrative, technical, and physical safeguards for the protection of Nonpublic Information and the Licensee’s Information System.",Semantic,Intersects with,9,10,"EX.MM-01.01: The organization implements procedures, and allocates sufficient resources with the requisite knowledge and experience, to manage and monitor its third-party relationships to a degree and extent commensurate with the risk each third party poses to the organization and the criticality of the third party's products, services, and/or relationship to the organization.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Monitoring,150.306,EX.MM-01.01,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,004.002,GV.OC-02.01,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.017,GV.RM-01.03,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,017.040,GV.RM-09.02,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"ID.AM-08.01: The organization establishes and maintains asset lifecycle management policies and procedures to ensure that assets are acquired, tracked, implemented, used, decommissioned, and protected commensurate with their sensitivity, criticality, and business value.",IDENTIFY / Asset Management / Asset Life Cycle Management,053.105,ID.AM-08.01,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",<div><font color=black>IDENTIFY / Asset Management / Asset Life Cycle Management</font></div>,053.107,ID.AM-08.03,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"ID.AM-08.04: The organization's asset management processes ensure the protection of sensitive data throughout removal, transfers, maintenance, end-of-life, and secure disposal or re-use.",<div><font color=black>IDENTIFY / Asset Management / Asset Life Cycle Management</font></div>,053.108,ID.AM-08.04,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"ID.AM-08.05: The organization defines and implements standards and procedures, consistent with its data retention policy, for destroying or securely erasing data, media, and storage devices when the data is no longer needed.",<div><font color=black>IDENTIFY / Asset Management / Asset Life Cycle Management</font></div>,053.109,ID.AM-08.05,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,060.127,ID.RA-06.03,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"PR.AA-03.02: Decisions to authorize user access to devices and other assets are made with consideration of: 
(1) Business need for the access;
(2) The type of data being accessed (e.g., customer PII, public data);
(3) The risk of the transaction (e.g., internal-to-internal, external-to-internal);
(4) The organization's level of trust for the accessing agent (e.g., external application, internal user); and
(5) The potential for harm.","PROTECT / Identity Management, Authentication, and Access Control / Authentication",072.166,PR.AA-03.02,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations",074.170,PR.AA-05.02,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"PR.DS-01.01: Data-at-rest is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, segregation, masking, tokenization, and file integrity monitoring).",PROTECT / Data Security / Protection of Data at Rest,080.187,PR.DS-01.01,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"PR.DS-02.01: Data-in-transit is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, and alternate transit paths).",PROTECT / Data Security / Protection of Data in Transit,081.190,PR.DS-02.01,
NAIC-IDSML-02,Section 4,Information Security Program,B. Objectives of Information Security Program,"Objectives of Information Security Program 
A Licensee’s Information Security Program shall be designed to:
(1) Protect the security and confidentiality of Nonpublic Information and the security of the Information System;
(2) Protect against any threats or hazards to the security or integrity of Nonpublic Information and the Information System;
(3) Protect against unauthorized access to or use of Nonpublic Information, and minimize the likelihood of harm to any Consumer; and
(4) Define and periodically reevaluate a schedule for retention of Nonpublic Information and a mechanism for its destruction when no longer needed.",Semantic,Superset of,9,10,"PR.DS-10.01: Data-in-use is protected commensurate with the criticality and sensitivity of the information and in alignment with the data classification and protection policy (e.g., through the use of encryption, authentication, access control, masking, tokenization, visual shielding, memory integrity monitoring, etc.)",PROTECT / Data Security / Protection of Data in Use,082.191,PR.DS-10.01,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,009.017,GV.RM-01.03,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"GV.RM-09.02: The resilience program ensures that the organization can continue operating critical business functions and deliver services to stakeholders, to include critical infrastructure partners, during adverse incidents and cyber attacks (e.g., propagation of malware or extended system outages).",GOVERN / Risk Management Strategy  / Business Continuity & Resilience Risk Management,017.040,GV.RM-09.02,
NAIC-IDSML-03,Section 4,Information Security Program,C. Risk Assessment,"The Licensee shall: 
(1) Designate one or more employees, an affiliate, or an outside vendor designated to act on behalf of the Licensee who is responsible for the Information Security Program;
(2) Identify reasonably foreseeable internal or external threats that could result in unauthorized access, transmission, disclosure, misuse, alteration or destruction of Nonpublic Information, including the security of Information Systems and Nonpublic Information that are accessible to, or held by, Third-Party Service Providers;
(3) Assess the likelihood and potential damage of these threats, taking into consideration the sensitivity of the Nonpublic Information;
(4) Assess the sufficiency of policies, procedures, Information Systems and other safeguards in place to manage these threats, including consideration of threats in each relevant area of the Licensee’s operations, including:
(a) Employee training and management;
(b) Information Systems, including network and software design, as well as information classification, governance, processing, storage, transmission, and disposal; and
(c) Detecting, preventing, and responding to attacks, intrusions, or other systems failures; and
(5) Implement information safeguards to manage the threats identified in its ongoing assessment, and no less than annually, assess the effectiveness of the safeguards’ key controls, systems, and procedures.",Semantic,Superset of,9,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",019.041,GV.RR-01.01,
