NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,NIST IR 8374 Ransomware Risk Management Profile to CRI Profile ver. 2.1 Mapping,
"
IDENTIFY","Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-02: The organization’s place in critical infrastructure and its industry sector is identified and communicated,This allows national computer security incident response teams to better understand the targeted organization’s place in the critical infrastructure environment and permits them to react in a timely manner in case of cross- sector impacts. This also encourages the organization and its external stakeholders to consider downstream effects from the ransomware attack.,GV.OC-02.02: Technology and cybersecurity risk management strategies identify and communicate the organization’s role within the financial services sector as a component of critical infrastructure.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations
"
IDENTIFY","Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-02: The organization’s place in critical infrastructure and its industry sector is identified and communicated,This allows national computer security incident response teams to better understand the targeted organization’s place in the critical infrastructure environment and permits them to react in a timely manner in case of cross- sector impacts. This also encourages the organization and its external stakeholders to consider downstream effects from the ransomware attack.,GV.OC-02.03: Technology and cybersecurity risk management strategies identify and communicate the organization's role as it relates to other critical infrastructure sectors outside of the financial services sector and the interdependency risks.,GOVERN / Organizational Context / Stakeholder Risk Management Expectations
"
IDENTIFY","Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.","ID.BE-03: Priorities for organizational mission, objectives, and activities are established and communicated","This helps operations and incident responders to prioritize resources. It supports contingency planning for future ransomware events, emergency response, and recovery actions.","GV.OC-01.01: Technology and cybersecurity strategies, architectures, and programs are formally governed to align with and support the organization's mission, objectives, priorities, tactical initiatives, and risk profile.",GOVERN / Organizational Context / Organizational Mission
"
IDENTIFY","Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-04: Dependencies and critical functions for delivery of critical services are established,"This helps with identifying secondary and tertiary components critical in supporting the organization’s core business functions. This is needed to prioritize contingency plans for future events and emergency responses to ransomware events. If there is an associated ICS, its critical functions should be included in emergency response and recovery actions.","GV.OC-04.02: The organization documents the business processes that are critical for the delivery of services and the functioning of the organization, and the impacts to the business if those processes are degraded or not functioning.",GOVERN / Organizational Context / Stakeholder Service Expectations
"
IDENTIFY","Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-04: Dependencies and critical functions for delivery of critical services are established,"This helps with identifying secondary and tertiary components critical in supporting the organization’s core business functions. This is needed to prioritize contingency plans for future events and emergency responses to ransomware events. If there is an associated ICS, its critical functions should be included in emergency response and recovery actions.","GV.OC-05.01: The organization identifies, assesses, and documents the key dependencies, interdependencies, and potential points of failure to support the delivery of critical services (e.g., systems, business processes, workforce, third parties, facilities, etc.)",GOVERN / Organizational Context / Organizational Service Dependencies
"
IDENTIFY","Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",ID.GV-01: Organizational cybersecurity policy is established and communicated,"Establishing and communicating policies needed to prevent or mitigate ransomware events is essential and fundamental to all other prevention and mitigation activities. Where practical, these policies should be reviewed periodically to reflect the dynamic nature of risk and the reality of needed ongoing adjustments.","GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures"
"
IDENTIFY","Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","ID.GV-03: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",This is necessary for developing cybersecurity policies and establishing priorities in contingency planning for response to future ransomware events.,"GV.OC-03.01: The organization's technology and cybersecurity strategy, framework, and policies align and are consistent with the organization's legal, statutory, contractual, and regulatory obligations and ensure that compliance responsibilities are unambiguously assigned.","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements"
"
IDENTIFY","Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.","ID.GV-03: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",This is necessary for developing cybersecurity policies and establishing priorities in contingency planning for response to future ransomware events.,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements"
"
IDENTIFY","Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",ID.GV-04: Governance and risk management processes address cybersecurity risks,Ransomware risks must be factored into organizational risk management governance in order to establish adequate cybersecurity policies,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement
"
IDENTIFY","Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",ID.GV-04: Governance and risk management processes address cybersecurity risks,Ransomware risks must be factored into organizational risk management governance in order to establish adequate cybersecurity policies,"GV.RM-01.03: The organization has established, and maintains, technology and cybersecurity programs designed to protect the confidentiality, integrity and availability of its information and operational systems, commensurate with the organization's risk appetite and business needs.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement
"
IDENTIFY","Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-01: Asset vulnerabilities are identified and documented,Identifying and documenting the vulnerabilities of the organization’s assets is crucial in developing plans for and prioritizing mitigation or elimination of those vulnerabilities. These actions also are key to contingency planning for evaluating and responding to future ransomware events and will reduce the likelihood of a successful ransomware attack.,"ID.RA-01.01: The organization identifies, assesses, and documents risks and potential vulnerabilities associated with assets, to include workforce, data, technology, facilities, services, and connections.",IDENTIFY / Risk Assessment / Asset Vulnerability Identification
"
IDENTIFY","Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-02: Cyber threat intelligence is received from information sharing forums and sources,Receiving and using cyber threat intelligence from information sharing sources can reduce the exposure to ransomware attacks and facilitate early detection of new threats.,"ID.RA-02.01: The organization participates actively (in alignment with its business operations, inherent risk, and complexity) in information-sharing groups and collectives (e.g., cross-industry, cross-government and cross-border groups) to gather, distribute and analyze information about cyber practices, cyber threats, and early warning indicators relating to cyber threats.",IDENTIFY / Risk Assessment / Information Sharing Forums
"
IDENTIFY","Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-04: Potential business impacts and likelihoods are identified,Understanding the business impacts of potential ransomware events is needed to support cybersecurity cost-benefit analyses as well to establish priorities for activities in ransomware response and recovery plans. Understanding potential business impacts also supports emergency response decisions in the event of a ransomware attack.,ID.RA-04.01: The organization's risk assessment approach includes the analysis and characterization of the likelihood and potential business impact of identified risks being realized.,IDENTIFY / Risk Assessment / Impact & Likelihood Analysis
"
IDENTIFY","Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-06: Risk responses are identified and prioritized,The expense associated with responding to and recovering from ransomware events is directly affected by the effectiveness of contingency planning for responses to projected risks.,"ID.RA-06.01: Technology and cybersecurity risk management programs and risk assessment processes produce actionable recommendations that the organization uses to select, design, prioritize, implement, maintain, evaluate, and modify cybersecurity and technology controls.",IDENTIFY / Risk Assessment / Risk Response Determination
"
IDENTIFY","Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-06: Risk responses are identified and prioritized,The expense associated with responding to and recovering from ransomware events is directly affected by the effectiveness of contingency planning for responses to projected risks.,"ID.RA-06.02: The implementation of responses to address identified risks (i.e., risk avoidance, risk mitigation, risk acceptance, or risk transfer (e.g., cyber insurance)) are formulated, assessed, documented, and prioritized based on criticality to the business.",IDENTIFY / Risk Assessment / Risk Response Determination
"
IDENTIFY","Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-06: Risk responses are identified and prioritized,The expense associated with responding to and recovering from ransomware events is directly affected by the effectiveness of contingency planning for responses to projected risks.,RS.MA-03.01: The organization categorizes and prioritizes cybersecurity incident response consistent with response plans and criticality of systems and services to the enterprise.,RESPOND / Incident Management / Incident Categorization & Prioritization
"
IDENTIFY","Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.","ID.RM-01: Risk management processes are established, managed, and agreed to by organizational stakeholders","Establishing and enforcing organizational policies, roles, and responsibilities depends on stakeholders agreeing to and implementing effective risk management processes. The processes should take into consideration the risk of a ransomware event. These policies should be reviewed periodically to reflect the dynamic nature of risk and the reality of needed adjustments over time.","GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement
"
IDENTIFY","Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.","ID.RM-01: Risk management processes are established, managed, and agreed to by organizational stakeholders","Establishing and enforcing organizational policies, roles, and responsibilities depends on stakeholders agreeing to and implementing effective risk management processes. The processes should take into consideration the risk of a ransomware event. These policies should be reviewed periodically to reflect the dynamic nature of risk and the reality of needed adjustments over time.","GV.RM-06.01: Technology and cybersecurity risk management and risk assessment processes and methodologies are documented and regularly reviewed and updated to address changes in the risk profile and risk appetite, the evolving threat environment, and new technologies, products, services, and interdependencies.",GOVERN / Risk Management Strategy / Standardized Risk Management Method
"
IDENTIFY","Supply Chain Risk Management (ID.SC): The organization's priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk.  The processes to identify, assess and manage supply chain risks are implemented.",ID.SC-05: Response and recovery planning and testing are conducted with suppliers and third-party providers,"Ransomware contingency planning should be coordinated with suppliers and third-party providers and should include testing planned activities. The plan should include a scenario where the organization, its suppliers, and third-party providers are all impacted by ransomware.","GV.RM-05.02: The organization establishes minimum requirements for its third-parties that include how the organizations will communicate and coordinate in times of emergency, including:
1) Joint maintenance of contingency plans;
2) Responsibilities for responding to incidents, including forensic investigations;
3) Planning and testing strategies that address severe events in order to identify single points of failure that would cause wide-scale disruption; and
4) Incorporating the potential impact of an incident into their BCM process and ensure resilience capabilities are in place.",GOVERN / Risk Management Strategy / Lines of Communication
"
IDENTIFY","Supply Chain Risk Management (ID.SC): The organization's priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk.  The processes to identify, assess and manage supply chain risks are implemented.",ID.SC-05: Response and recovery planning and testing are conducted with suppliers and third-party providers,"Ransomware contingency planning should be coordinated with suppliers and third-party providers and should include testing planned activities. The plan should include a scenario where the organization, its suppliers, and third-party providers are all impacted by ransomware.","GV.SC-08.01: The organization's resilience strategy, plans, tests, and exercises incorporate its external dependencies and critical business partners.",GOVERN / Supply Chain Risk Management / Third Party Incident Management Integratoin
"
PROTECT","Identity Management and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-01: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes","Most ransomware attacks are conducted through network connections, and ransomware attacks often start with credential compromise (e.g., unauthorized sharing or capture of login identity and password). Proper credential management is essential, although not the only mitigation needed.","PR.AA-01.01: Identities and credentials are actively managed or automated for authorized devices and users (e.g., removal of default and factory passwords, password strength requirements, automatic revocation of credentials under defined conditions, regular asset owner access review, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Identity & Credential Management"
"
PROTECT","Identity Management and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-03: Remote access is managed,Most ransomware attacks are conducted remotely. Managing privileges associated with remote access can help maintain the integrity of systems and data files to protect against malicious code insertion and data exfiltration. Using multi-factor authentication is a key – and easily implemented – way to reduce the likelihood of account compromise.,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT","Identity Management and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-04: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Many ransomware events occur by compromising user credentials or invoking processes that have unnecessary privileged access to systems. This is a very important management step for preventing such events.,"PR.AA-05.01: The organization limits access privileges to the minimum necessary and with consideration of separation of duties (e.g., through role-based access control, asset owner access recertifications, etc.).","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
"
PROTECT","Identity Management and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-04: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Many ransomware events occur by compromising user credentials or invoking processes that have unnecessary privileged access to systems. This is a very important management step for preventing such events.,"PR.AA-05.02: The organization institutes controls over privileged system access by strictly limiting and closely managing staff and services with elevated system entitlements (e.g., multi-factor authentication, dual accounts, privilege and time constraints, etc.)","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
"
PROTECT","Identity Management and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-04: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties",Many ransomware events occur by compromising user credentials or invoking processes that have unnecessary privileged access to systems. This is a very important management step for preventing such events.,"PR.AA-05.03: The organization institutes controls over service account (i.e., accounts used by systems to access other systems) lifecycles to ensure strict security over creation, use, and termination; access credentials (e.g., no embedded passwords in code); frequent reviews of account ownership; visibility for unauthorized use; and hardening against malicious insider use.","PROTECT / Identity Management, Authentication, and Access Control / Access Authorizations"
"
PROTECT","Identity Management and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-05: Network integrity is protected (e.g., network segregation, network segmentation)","Network segmentation or segregation can limit the scope of ransomware events by preventing malware from proliferating among potential target systems (e.g., moving into an operational technology or control system from a business information technology network). It is critical to separate IT and OT networks and regularly validate their independence. This not only reduces the risk of OT systems being compromised, but also allows low-level critical operations to continue while business IT systems recover from ransomware. This is particularly important for critical ICS functions, including Safety Instrument Systems (SIS).","PR.IR-01.01: Networks, systems, and external connections are segmented (e.g., using firewalls, software-defined networks, guest wireless networks, etc.) to implement defense-in-depth and access isolation principles.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT","Identity Management and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-05: Network integrity is protected (e.g., network segregation, network segmentation)","Network segmentation or segregation can limit the scope of ransomware events by preventing malware from proliferating among potential target systems (e.g., moving into an operational technology or control system from a business information technology network). It is critical to separate IT and OT networks and regularly validate their independence. This not only reduces the risk of OT systems being compromised, but also allows low-level critical operations to continue while business IT systems recover from ransomware. This is particularly important for critical ICS functions, including Safety Instrument Systems (SIS).","PR.IR-01.04: The organization controls access to its wireless networks and the information that these networks process by implementing appropriate mechanisms (e.g., strong authentication for authentication and transmission, preventing unauthorized devices from connecting to the internal networks, restricting unauthorized traffic, and segregating guest wireless networks).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT","Identity Management and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.","PR.AC-05: Network integrity is protected (e.g., network segregation, network segmentation)","Network segmentation or segregation can limit the scope of ransomware events by preventing malware from proliferating among potential target systems (e.g., moving into an operational technology or control system from a business information technology network). It is critical to separate IT and OT networks and regularly validate their independence. This not only reduces the risk of OT systems being compromised, but also allows low-level critical operations to continue while business IT systems recover from ransomware. This is particularly important for critical ICS functions, including Safety Instrument Systems (SIS).","PR.IR-01.07: The organization defines and implements controls for securely configuring and operating Operational Technologies, Industrial Control Systems, and Internet-of-Things (IoT) devices (e.g., segregated printer networks, resetting of default passwords, etc.)",PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT","Identity Management and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-06: Identities are proofed and bound to credentials and asserted in interactions,"Compromised credentials are a common attack vector in ransomware events. Identities should be proofed and then bound to a credential (e.g., two-factor authentication of formally authorized individuals) to limit the likelihood that credentials are compromised or issued to an unauthorized individual.","PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.","PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials"
"
PROTECT","Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-01: All users are informed and trained,"Most ransomware attacks are made possible by users who engage in unsafe practices, administrators who implement insecure configurations, or developers who have insufficient security training.",PR.AT-01.01: All personnel receive cybersecurity awareness training upon hire and on a regular basis.,PROTECT / Awareness and Training / User Awareness & Training
"
PROTECT","Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-01: All users are informed and trained,"Most ransomware attacks are made possible by users who engage in unsafe practices, administrators who implement insecure configurations, or developers who have insufficient security training.","PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PROTECT / Awareness and Training / User Awareness & Training
"
PROTECT","Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-01: All users are informed and trained,"Most ransomware attacks are made possible by users who engage in unsafe practices, administrators who implement insecure configurations, or developers who have insufficient security training.","PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training
"
PROTECT","Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-04: Adequate capacity to ensure availability is maintained,"Ensuring adequate availability of data can reduce ransomware impacts. This includes the ability to maintain offsite and offline data backups, testing mean time to recovery and system redundancy where necessary.","PR.IR-04.02: Technology availability and capacity is planned, monitored, managed, and optimized to meet business resilience objectives and reasonably anticipated infrastructure demands.",PROTECT / Technology Infrastructure Resilience / Capacity Management
"
PROTECT","Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-05: Protections against data leaks are implemented,"Double extortion – demanding payment both to restore data access and to not sell or publish the data elsewhere – is common, so data leak prevention solutions are important.",PR.DS-01.02: The organization implements data loss identification and prevention tools to monitor and protect against confidential data theft or destruction by an employee or an external actor.,PROTECT / Data Security / Protection of Data at Rest
"
PROTECT","Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.","PR.DS-06: Integrity checking mechanisms are used to verify software, firmware, and information integrity",Integrity checking mechanisms can detect tampered software updates that can be used to insert malware that enables ransomware events.,"DE.CM-09.01: The organization uses integrity checking mechanisms to verify software, firmware and information integrity and provenance (e.g., checksums, Software Bill of Materials, etc.)","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring"
"
PROTECT","Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-07: The development and testing environment(s) are separate from the production environment,Keeping development and testing environments separate from production environments can prevent ransomware from promulgating from development and testing systems into production systems.,PR.IR-01.06: The organization's production and non-production environments and data are segregated and managed to prevent unauthorized access or changes to the information assets.,PROTECT / Technology Infrastructure Resilience / Logical Access Protections
"
PROTECT","Information Protection Processes and Procedures (PR.IP): Security policies, processes, and procedures are maintained and used to manage protection of information systems and assets.","PR.IP-01: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g., concept of least functionality)","Baselines are useful for establishing the set of functions a system needs to perform so that any deviation from that baseline could be evaluated for its cyber risk potential. Unauthorized changes to the configuration can be used as an indicator of a malicious attack, which may lead to the introduction of ransomware.","PR.PS-01.01: The organization establishes and maintains standard system security configuration baselines, informed by industry standards and hardening guidelines, to facilitate the consistent application of security settings, configurations, and versions.",PROTECT / Platform Security / Configuration Management
