,,"NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping","NY Department of Financial Services (NYDFS) Cybersecurity Regulation (23 NYCRR 500 Second Amendment)
to CRI Profile ver. 2.1 Mapping",,
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Superset of,9,10,No Gaps Identified,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.PO-01.08: The organization maintains documented third-party risk management program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.08
NYDFS-02,500.2 Cybersecurity program,500.2b,"The cybersecurity program shall be based on the covered entity’s risk assessment and designed to perform the following core cybersecurity functions:
(1) identify and assess internal and external cybersecurity risks that may threaten the security or integrity of nonpublic information stored on the covered entity’s information systems;
(2) use defensive infrastructure and the implementation of policies and procedures to protect the covered entity’s information systems, and the nonpublic information stored on those information systems, from unauthorized access, use or other malicious acts;
(3) detect cybersecurity events;
(4) respond to identified or detected cybersecurity events to mitigate any negative effects;
(5) recover from cybersecurity events and restore normal operations and services; and
(6) fulfill applicable regulatory reporting obligations.",Semantic,Intersects with,9,10,No Gaps Identified,"RS.CO-02.02: In the event of an incident, the organization notifies impacted stakeholders including, as required, government bodies, self-regulatory agencies and/or other supervisory bodies, within required timeframes.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Notification,RS.CO-02.02
NYDFS-03,500.2 Cybersecurity program,500.2c,Each class A company shall design and conduct independent audits of its cybersecurity program based on its risk assessment.,Semantic,Superset of,9,10,No Gaps Identified,"GV.AU-01.01: The organization has an independent audit function (i.e., internal audit group or external auditor) that follows generally accepted audit practices and approved audit policies and procedures.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.01
NYDFS-03,500.2 Cybersecurity program,500.2c,Each class A company shall design and conduct independent audits of its cybersecurity program based on its risk assessment.,Semantic,Superset of,9,10,No Gaps Identified,"GV.AU-01.02: The organization has an independent audit plan that provides for the evaluation of technology and cybersecurity risk, including compliance with the approved risk management framework, policies, and processes for technology, cybersecurity, and resilience; and how well the organization adapts to the evolving risk environment while remaining within its stated risk appetite and tolerance.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.02
NYDFS-03,500.2 Cybersecurity program,500.2c,Each class A company shall design and conduct independent audits of its cybersecurity program based on its risk assessment.,Semantic,Superset of,9,10,No Gaps Identified,"GV.AU-01.03: The independent audit function tests technology management, cybersecurity, incident response, and resilience policies and controls.",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.03
NYDFS-03,500.2 Cybersecurity program,500.2c,Each class A company shall design and conduct independent audits of its cybersecurity program based on its risk assessment.,Semantic,Superset of,9,10,No Gaps Identified,"GV.AU-01.04: The independent audit function evaluates and tests third-party risk management policies and controls, identifies weaknesses and gaps, and recommends improvements to senior management and the governing authority (e.g., the Board or one of its committees).",GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.04
NYDFS-03,500.2 Cybersecurity program,500.2c,Each class A company shall design and conduct independent audits of its cybersecurity program based on its risk assessment.,Semantic,Superset of,8,10,No Gaps Identified,GV.AU-01.05: An independent audit function assesses compliance with applicable laws and regulations.,GOVERN / Independent Audit Function / Independent Audit Compliance Assessment,GV.AU-01.05
NYDFS-03,500.2 Cybersecurity program,500.2c,Each class A company shall design and conduct independent audits of its cybersecurity program based on its risk assessment.,Semantic,Superset of,9,10,No Gaps Identified,GV.AU-03.01: The independent audit function reviews technology and cybersecurity practices and identifies weaknesses and gaps.,GOVERN / Independent Audit Function / Independent Audit Reporting,GV.AU-03.01
NYDFS-03,500.2 Cybersecurity program,500.2c,Each class A company shall design and conduct independent audits of its cybersecurity program based on its risk assessment.,Semantic,Superset of,9,10,No Gaps Identified,"GV.AU-03.03: The independent audit function reports to the governing authority (e.g., the Board or one of its committees) within the organization, including when its assessment differs from that of the organization, or when risk tolerance has been exceeded in any part of the organization.",GOVERN / Independent Audit Function / Independent Audit Reporting,GV.AU-03.03
NYDFS-04,500.2 Cybersecurity program,500.2d,"A covered entity may meet the requirement(s) of this Part by adopting the relevant and applicable provisions of a cybersecurity program maintained by an affiliate, provided that such provisions satisfy the requirements of this Part, as applicable to the covered entity.",Semantic,Intersects with,10,10,No Gaps Identified,"GV.PO-01.02: The accountable governing body, and applicable cybersecurity program and policies, for any given organizational unit, affiliate, or merged entity are clearly established, applied, and communicated.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.02
NYDFS-05,500.2 Cybersecurity program,500.2e,"All documentation and information relevant to the covered entity’s cybersecurity program, including the relevant and applicable provisions of a cybersecurity program maintained by an affiliate and adopted by the covered entity, shall be made available to the superintendent upon request.",Semantic,Intersects with,10,10,"No Gaps Identified

","GV.PO-01.02: The accountable governing body, and applicable cybersecurity program and policies, for any given organizational unit, affiliate, or merged entity are clearly established, applied, and communicated.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.02
NYDFS-06,500.3 Cybersecurity policy,500.3.1,"Each covered entity shall implement and maintain a written policy or
policies, approved at least annually by a senior officer or the covered entity’s senior governing body for the protection of its information systems and nonpublic information stored on those information systems.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.02
NYDFS-06,500.3 Cybersecurity policy,500.3.1,"Each covered entity shall implement and maintain a written policy or
policies, approved at least annually by a senior officer or the covered entity’s senior governing body for the protection of its information systems and nonpublic information stored on those information systems.",Semantic,Superset of,9,10,No Gaps Identified,"GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01
NYDFS-06,500.3 Cybersecurity policy,500.3.1,"Each covered entity shall implement and maintain a written policy or
policies, approved at least annually by a senior officer or the covered entity’s senior governing body for the protection of its information systems and nonpublic information stored on those information systems.",Semantic,Superset of,9,10,No Gaps Identified,"GV.PO-01.05: Technology and cybersecurity processes, procedures, and controls are established in alignment with cybersecurity policy.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.05
NYDFS-06,500.3 Cybersecurity policy,500.3.1,"Each covered entity shall implement and maintain a written policy or
policies, approved at least annually by a senior officer or the covered entity’s senior governing body for the protection of its information systems and nonpublic information stored on those information systems.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07
NYDFS-06,500.3 Cybersecurity policy,500.3.1,"Each covered entity shall implement and maintain a written policy or
policies, approved at least annually by a senior officer or the covered entity’s senior governing body for the protection of its information systems and nonpublic information stored on those information systems.",Semantic,Intersects with,8,10,No Gaps Identified,"GV.PO-01.08: The organization maintains documented third-party risk management program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.08
NYDFS-07,500.3 Cybersecurity policy,500.3.2,"Procedures shall be developed, documented and implemented in accordance with the written policy or policies. The cybersecurity policy or policies and procedures shall be based on the covered entity’s risk assessment and address, at a minimum, the following areas to the extent applicable to the covered entity’s operations:
(a) information security;
(b) data governance, classification and retention; 
(c) asset inventory, device management and end of life management;
(d) access controls, including remote access and identity management;
(e) business continuity and disaster recovery planning and resources;
(f) systems operations and availability concerns;
(g) systems and network security and monitoring;
(h) security awareness and training;
(i) systems and application security and development and quality assurance;
(j) physical security and environmental controls;
(k) customer data privacy;
(l) vendor and third-party service provider management;
(m) risk assessment;
(n) incident response and notification; and
(o) vulnerability management.",Semantic,Superset of,9,8,"The Profile is non-specific with respect to certain policies, but section 500.3.2 is more specific, where policy and procedure coverage is clearly implied.","GV.OC-03.02: The organization implements and maintains a documented policy or policies that address customer data privacy that is approved by a designated officer or the organization’s appropriate governing body (e.g., the Board or one of its committees).","GOVERN / Organizational Context / Legal, Regulatory, & Contractual Requirements",GV.OC-03.02
NYDFS-07,500.3 Cybersecurity policy,500.3.2,"Procedures shall be developed, documented and implemented in accordance with the written policy or policies. The cybersecurity policy or policies and procedures shall be based on the covered entity’s risk assessment and address, at a minimum, the following areas to the extent applicable to the covered entity’s operations:
(a) information security;
(b) data governance, classification and retention; 
(c) asset inventory, device management and end of life management;
(d) access controls, including remote access and identity management;
(e) business continuity and disaster recovery planning and resources;
(f) systems operations and availability concerns;
(g) systems and network security and monitoring;
(h) security awareness and training;
(i) systems and application security and development and quality assurance;
(j) physical security and environmental controls;
(k) customer data privacy;
(l) vendor and third-party service provider management;
(m) risk assessment;
(n) incident response and notification; and
(o) vulnerability management.",Semantic,Superset of,8,8,"The Profile is non-specific with respect to certain policies, but section 500.3.2 is more specific, where policy and procedure coverage is clearly implied.","GV.RM-01.04: Technology and cybersecurity risk management programs incorporate risk identification, measurement, monitoring, and reporting.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.04
NYDFS-07,500.3 Cybersecurity policy,500.3.2,"Procedures shall be developed, documented and implemented in accordance with the written policy or policies. The cybersecurity policy or policies and procedures shall be based on the covered entity’s risk assessment and address, at a minimum, the following areas to the extent applicable to the covered entity’s operations:
(a) information security;
(b) data governance, classification and retention; 
(c) asset inventory, device management and end of life management;
(d) access controls, including remote access and identity management;
(e) business continuity and disaster recovery planning and resources;
(f) systems operations and availability concerns;
(g) systems and network security and monitoring;
(h) security awareness and training;
(i) systems and application security and development and quality assurance;
(j) physical security and environmental controls;
(k) customer data privacy;
(l) vendor and third-party service provider management;
(m) risk assessment;
(n) incident response and notification; and
(o) vulnerability management.",Semantic,Superset of,9,8,"The Profile is non-specific with respect to certain policies, but section 500.3.2 is more specific, where policy and procedure coverage is clearly implied.","GV.PO-01.01: Technology and cybersecurity policies are documented, maintained and approved by the governing authority (e.g., the Board or one of its committees) or a designated executive.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.01
NYDFS-07,500.3 Cybersecurity policy,500.3.2,"Procedures shall be developed, documented and implemented in accordance with the written policy or policies. The cybersecurity policy or policies and procedures shall be based on the covered entity’s risk assessment and address, at a minimum, the following areas to the extent applicable to the covered entity’s operations:
(a) information security;
(b) data governance, classification and retention; 
(c) asset inventory, device management and end of life management;
(d) access controls, including remote access and identity management;
(e) business continuity and disaster recovery planning and resources;
(f) systems operations and availability concerns;
(g) systems and network security and monitoring;
(h) security awareness and training;
(i) systems and application security and development and quality assurance;
(j) physical security and environmental controls;
(k) customer data privacy;
(l) vendor and third-party service provider management;
(m) risk assessment;
(n) incident response and notification; and
(o) vulnerability management.",Semantic,Superset of,9,8,"The Profile is non-specific with respect to certain policies, but section 500.3.2 is more specific, where policy and procedure coverage is clearly implied.","GV.PO-01.02: The accountable governing body, and applicable cybersecurity program and policies, for any given organizational unit, affiliate, or merged entity are clearly established, applied, and communicated.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.02
NYDFS-07,500.3 Cybersecurity policy,500.3.2,"Procedures shall be developed, documented and implemented in accordance with the written policy or policies. The cybersecurity policy or policies and procedures shall be based on the covered entity’s risk assessment and address, at a minimum, the following areas to the extent applicable to the covered entity’s operations:
(a) information security;
(b) data governance, classification and retention; 
(c) asset inventory, device management and end of life management;
(d) access controls, including remote access and identity management;
(e) business continuity and disaster recovery planning and resources;
(f) systems operations and availability concerns;
(g) systems and network security and monitoring;
(h) security awareness and training;
(i) systems and application security and development and quality assurance;
(j) physical security and environmental controls;
(k) customer data privacy;
(l) vendor and third-party service provider management;
(m) risk assessment;
(n) incident response and notification; and
(o) vulnerability management.",Semantic,Superset of,7,8,"The Profile is non-specific with respect to certain policies, but section 500.3.2 is more specific, where policy and procedure coverage is clearly implied.",GV.PO-01.06: Physical and environmental security policies are implemented and managed.,"GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.06
NYDFS-07,500.3 Cybersecurity policy,500.3.2,"Procedures shall be developed, documented and implemented in accordance with the written policy or policies. The cybersecurity policy or policies and procedures shall be based on the covered entity’s risk assessment and address, at a minimum, the following areas to the extent applicable to the covered entity’s operations:
(a) information security;
(b) data governance, classification and retention; 
(c) asset inventory, device management and end of life management;
(d) access controls, including remote access and identity management;
(e) business continuity and disaster recovery planning and resources;
(f) systems operations and availability concerns;
(g) systems and network security and monitoring;
(h) security awareness and training;
(i) systems and application security and development and quality assurance;
(j) physical security and environmental controls;
(k) customer data privacy;
(l) vendor and third-party service provider management;
(m) risk assessment;
(n) incident response and notification; and
(o) vulnerability management.",Semantic,Superset of,9,8,"The Profile is non-specific with respect to certain policies, but section 500.3.2 is more specific, where policy and procedure coverage is clearly implied.","GV.PO-01.07: The organization maintains documented business continuity and resilience program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.07
NYDFS-07,500.3 Cybersecurity policy,500.3.2,"Procedures shall be developed, documented and implemented in accordance with the written policy or policies. The cybersecurity policy or policies and procedures shall be based on the covered entity’s risk assessment and address, at a minimum, the following areas to the extent applicable to the covered entity’s operations:
(a) information security;
(b) data governance, classification and retention; 
(c) asset inventory, device management and end of life management;
(d) access controls, including remote access and identity management;
(e) business continuity and disaster recovery planning and resources;
(f) systems operations and availability concerns;
(g) systems and network security and monitoring;
(h) security awareness and training;
(i) systems and application security and development and quality assurance;
(j) physical security and environmental controls;
(k) customer data privacy;
(l) vendor and third-party service provider management;
(m) risk assessment;
(n) incident response and notification; and
(o) vulnerability management.",Semantic,Superset of,9,8,"The Profile is non-specific with respect to certain policies, but section 500.3.2 is more specific, where policy and procedure coverage is clearly implied.","GV.PO-01.08: The organization maintains documented third-party risk management program policies and procedures approved by the governing authority (e.g., the Board or one of its committees).","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.08
NYDFS-07,500.3 Cybersecurity policy,500.3.2,"Procedures shall be developed, documented and implemented in accordance with the written policy or policies. The cybersecurity policy or policies and procedures shall be based on the covered entity’s risk assessment and address, at a minimum, the following areas to the extent applicable to the covered entity’s operations:
(a) information security;
(b) data governance, classification and retention; 
(c) asset inventory, device management and end of life management;
(d) access controls, including remote access and identity management;
(e) business continuity and disaster recovery planning and resources;
(f) systems operations and availability concerns;
(g) systems and network security and monitoring;
(h) security awareness and training;
(i) systems and application security and development and quality assurance;
(j) physical security and environmental controls;
(k) customer data privacy;
(l) vendor and third-party service provider management;
(m) risk assessment;
(n) incident response and notification; and
(o) vulnerability management.",Semantic,Superset of,8,8,"The Profile is non-specific with respect to certain policies, but section 500.3.2 is more specific, where policy and procedure coverage is clearly implied.","ID.AM-08.01: The organization establishes and maintains asset lifecycle management policies and procedures to ensure that assets are acquired, tracked, implemented, used, decommissioned, and protected commensurate with their sensitivity, criticality, and business value.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.01
NYDFS-07,500.3 Cybersecurity policy,500.3.2,"Procedures shall be developed, documented and implemented in accordance with the written policy or policies. The cybersecurity policy or policies and procedures shall be based on the covered entity’s risk assessment and address, at a minimum, the following areas to the extent applicable to the covered entity’s operations:
(a) information security;
(b) data governance, classification and retention; 
(c) asset inventory, device management and end of life management;
(d) access controls, including remote access and identity management;
(e) business continuity and disaster recovery planning and resources;
(f) systems operations and availability concerns;
(g) systems and network security and monitoring;
(h) security awareness and training;
(i) systems and application security and development and quality assurance;
(j) physical security and environmental controls;
(k) customer data privacy;
(l) vendor and third-party service provider management;
(m) risk assessment;
(n) incident response and notification; and
(o) vulnerability management.",Semantic,Superset of,7,8,"The Profile is non-specific with respect to certain policies, but section 500.3.2 is more specific, where policy and procedure coverage is clearly implied.","ID.AM-08.03: The organization establishes policies, standards, and procedures for data governance, data management, and data retention consistent with its legal obligations and the value of data as an organizational asset.",IDENTIFY / Asset Management / Asset Life Cycle Management,ID.AM-08.03
