,"European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping","European Central Bank, ""Cyber resilience oversight expectations for financial market infrastructures"" (CROE) (Dec 2018)
to CRI Profile ver. 2.1 Mapping",,
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy and framework,2.1.2.1.16,"The FMI should establish the appropriate structures, processes and relationships with the key stakeholders in the ecosystem to continuously and proactively enhance the ecosystem’s cyber resilience and promote financial stability objectives as a whole.",Innovating,Full Summarily,"GV.RM-05.02: The organization establishes minimum requirements for its third-parties that include how the organizations will communicate and coordinate in times of emergency, including:
1) Joint maintenance of contingency plans;
2) Responsibilities for responding to incidents, including forensic investigations;
3) Planning and testing strategies that address severe events in order to identify single points of failure that would cause wide-scale disruption; and
4) Incorporating the potential impact of an incident into their BCM process and ensure resilience capabilities are in place.",GOVERN / Risk Management Strategy / Lines of Communication,GV.RM-05.02
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy and framework,2.1.2.1.16,"The FMI should establish the appropriate structures, processes and relationships with the key stakeholders in the ecosystem to continuously and proactively enhance the ecosystem’s cyber resilience and promote financial stability objectives as a whole.",Innovating,Full Summarily,"GV.SC-08.01: The organization's resilience strategy, plans, tests, and exercises incorporate its external dependencies and critical business partners.",<div>GOVERN / Supply Chain Risk Management / Third Party Incident Management Integration</div>,GV.SC-08.01
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy and framework,2.1.2.1.16,"The FMI should establish the appropriate structures, processes and relationships with the key stakeholders in the ecosystem to continuously and proactively enhance the ecosystem’s cyber resilience and promote financial stability objectives as a whole.",Innovating,Full Summarily,"ID.RA-02.01: The organization participates actively (in alignment with its business operations, inherent risk, and complexity) in information-sharing groups and collectives (e.g., cross-industry, cross-government and cross-border groups) to gather, distribute and analyze information about cyber practices, cyber threats, and early warning indicators relating to cyber threats.",IDENTIFY / Risk Assessment / Information Sharing Forums,ID.RA-02.01
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy and framework,2.1.2.1.16,"The FMI should establish the appropriate structures, processes and relationships with the key stakeholders in the ecosystem to continuously and proactively enhance the ecosystem’s cyber resilience and promote financial stability objectives as a whole.",Innovating,Full Summarily,"ID.IM-02.08: The organization tests and exercises, independently and in coordination with other critical sector partners, its ability to support sector-wide resilience in the event of extreme financial stress or the instability of external dependencies, such as connectivity to markets, payment systems, clearing entities, messaging services, etc.",IDENTIFY / Improvement / Tests & Exercises,ID.IM-02.08
2.1 Governance / 2.1.2.1 Cyber resilience strategy and framework / Cyber resilience strategy and framework,2.1.2.1.16,"The FMI should establish the appropriate structures, processes and relationships with the key stakeholders in the ecosystem to continuously and proactively enhance the ecosystem’s cyber resilience and promote financial stability objectives as a whole.",Innovating,Full Summarily,"EX.MM-02.03: The organization collaborates with suppliers to maintain and improve the secure use of products, services, and external connections.",EXTEND / Monitoring and Managing Suppliers / Ongoing Third-Party Management,EX.MM-02.03
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.17,"The FMI’s Board should be responsible for approving the cyber resilience strategy and framework, setting the FMI’s risk tolerance for cyber risks and closely overseeing the FMI's implementation of its cyber resilience framework and the policies, procedures and controls that support it.",Evolving,Full Summarily,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.17,"The FMI’s Board should be responsible for approving the cyber resilience strategy and framework, setting the FMI’s risk tolerance for cyber risks and closely overseeing the FMI's implementation of its cyber resilience framework and the policies, procedures and controls that support it.",Evolving,Full Summarily,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.17,"The FMI’s Board should be responsible for approving the cyber resilience strategy and framework, setting the FMI’s risk tolerance for cyber risks and closely overseeing the FMI's implementation of its cyber resilience framework and the policies, procedures and controls that support it.",Evolving,Full Summarily,"GV.RM-02.02: The organization has established statements of technology and cybersecurity risk tolerance consistent with its risk appetite, and has integrated them into technology, cybersecurity, operational, and enterprise risk management practices.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.02
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.17,"The FMI’s Board should be responsible for approving the cyber resilience strategy and framework, setting the FMI’s risk tolerance for cyber risks and closely overseeing the FMI's implementation of its cyber resilience framework and the policies, procedures and controls that support it.",Evolving,Full Summarily,"ID.RA-06.03: Technology and cybersecurity programs identify and implement controls to manage applicable risks within the risk appetite set by the governing authority (e.g., the Board or one of its committees).",IDENTIFY / Risk Assessment / Risk Response Determination,ID.RA-06.03
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.18,"In order to carry out the aforementioned responsibilities, the FMI’s Board should ensure that it collectively possesses the appropriate balance of skills, knowledge and experience to understand and assess the cyber risks facing the FMI. It should also be sufficiently informed and capable of credibly challenging the recommendations and decisions of designated senior management. Although the Board should collectively increase its skills and knowledge on cybersecurity, it can also access specific expertise through a Board member with adequate experience, or through experienced staff and/or external independent organisation(s) reporting to and advising the Board.",Evolving,Full Summarily,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.18,"In order to carry out the aforementioned responsibilities, the FMI’s Board should ensure that it collectively possesses the appropriate balance of skills, knowledge and experience to understand and assess the cyber risks facing the FMI. It should also be sufficiently informed and capable of credibly challenging the recommendations and decisions of designated senior management. Although the Board should collectively increase its skills and knowledge on cybersecurity, it can also access specific expertise through a Board member with adequate experience, or through experienced staff and/or external independent organisation(s) reporting to and advising the Board.",Evolving,Full Summarily,"PR.AT-02.08: Where the organization's governing authority (e.g., the Board or one of its committees) does not have adequate cybersecurity expertise, they should have direct access to the senior officer responsible for cybersecurity and independent sources of expertise to discuss cybersecurity related matters.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.08
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.19,"The Board and senior management should ensure that a senior executive (e.g. the CISO) is responsible and accountable for implementing the cyber resilience strategy and framework at the enterprise level. The Senior Executive should be independent, possess the appropriate balance of skills, knowledge and experience, and have sufficient resources and direct access to the Board. For further clarification on the possible roles and responsibilities of such a senior executive, see Annex 3.",Evolving,Full,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.04
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.20,"The Board and senior management should ensure that staff (including senior management) who are responsible for cyber activities have suitable skills, knowledge and experience, and are sufficiently informed and empowered to make timely decisions.",Evolving,Full Summarily,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.04
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.20,"The Board and senior management should ensure that staff (including senior management) who are responsible for cyber activities have suitable skills, knowledge and experience, and are sufficiently informed and empowered to make timely decisions.",Evolving,Full Summarily,"GV.RR-01.05: The organization designates a qualified Technology Officer (e.g., CIO or CTO) who is responsible and accountable for developing technology strategy, overseeing and implementing its technology program, and enforcing its technology policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.05
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.20,"The Board and senior management should ensure that staff (including senior management) who are responsible for cyber activities have suitable skills, knowledge and experience, and are sufficiently informed and empowered to make timely decisions.",Evolving,Full Summarily,"GV.RR-02.01: The roles, responsibilities, qualifications, and skill requirements for personnel (employees and third parties) that implement, manage, and oversee the technology, cybersecurity, and resilience programs are defined, aligned, coordinated, and holistically managed.","GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.20,"The Board and senior management should ensure that staff (including senior management) who are responsible for cyber activities have suitable skills, knowledge and experience, and are sufficiently informed and empowered to make timely decisions.",Evolving,Full Summarily,GV.RR-02.05: Personnel (employees and third parties) who fulfill the organization’s physical security and cybersecurity objectives understand their roles and responsibilities.,"GOVERN / Roles, Responsibilities, and Authorities / Risk Management Roles & Responsibilities",GV.RR-02.05
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.20,"The Board and senior management should ensure that staff (including senior management) who are responsible for cyber activities have suitable skills, knowledge and experience, and are sufficiently informed and empowered to make timely decisions.",Evolving,Full Summarily,GV.RR-03.02: The organization regularly assesses its skill and resource level requirements against its current personnel complement to determine gaps in resource need.,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.02
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.20,"The Board and senior management should ensure that staff (including senior management) who are responsible for cyber activities have suitable skills, knowledge and experience, and are sufficiently informed and empowered to make timely decisions.",Evolving,Full Summarily,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.20,"The Board and senior management should ensure that staff (including senior management) who are responsible for cyber activities have suitable skills, knowledge and experience, and are sufficiently informed and empowered to make timely decisions.",Evolving,Full Summarily,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.02
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.21,"The Board and senior management should ensure that cyber risk, implementation of the cyber resilience framework and any associated issues appear regularly on the Board’s meeting agenda. Boards should have adequate access to cybersecurity expertise (whether internal or external), and discussions about cyber risk management should be given adequate time on the Board’s meeting agenda.",Evolving,Full Summarily,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.21,"The Board and senior management should ensure that cyber risk, implementation of the cyber resilience framework and any associated issues appear regularly on the Board’s meeting agenda. Boards should have adequate access to cybersecurity expertise (whether internal or external), and discussions about cyber risk management should be given adequate time on the Board’s meeting agenda.",Evolving,Full Summarily,"GV.OV-01.03: The designated Technology Officer (e.g., CIO or CTO) regularly reports to the governing authority (e.g., the Board or one of its committees) on the status of technology use and risks within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.03
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.21,"The Board and senior management should ensure that cyber risk, implementation of the cyber resilience framework and any associated issues appear regularly on the Board’s meeting agenda. Boards should have adequate access to cybersecurity expertise (whether internal or external), and discussions about cyber risk management should be given adequate time on the Board’s meeting agenda.",Evolving,Full Summarily,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.21,"The Board and senior management should ensure that cyber risk, implementation of the cyber resilience framework and any associated issues appear regularly on the Board’s meeting agenda. Boards should have adequate access to cybersecurity expertise (whether internal or external), and discussions about cyber risk management should be given adequate time on the Board’s meeting agenda.",Evolving,Full Summarily,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.02
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.21,"The Board and senior management should ensure that cyber risk, implementation of the cyber resilience framework and any associated issues appear regularly on the Board’s meeting agenda. Boards should have adequate access to cybersecurity expertise (whether internal or external), and discussions about cyber risk management should be given adequate time on the Board’s meeting agenda.",Evolving,Full Summarily,"GV.IR-03.01: The independent risk management function reports to the governing authority (e.g., the Board or one of its committees) and to the designated risk management officer within the organization on the implementation of the technology and cybersecurity risk management frameworks throughout the organization and its independent assessment of risk posture.",GOVERN / Independent Risk Management Function / Independent Risk Management Reporting,GV.IR-03.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.22,Senior management should regularly provide a written report to the Board on the overall status of its cyber resilience programme and keys risks and issues.,Evolving,Full Summarily,"GV.OV-01.03: The designated Technology Officer (e.g., CIO or CTO) regularly reports to the governing authority (e.g., the Board or one of its committees) on the status of technology use and risks within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.03
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.22,Senior management should regularly provide a written report to the Board on the overall status of its cyber resilience programme and keys risks and issues.,Evolving,Full Summarily,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Board and management responsibilities,2.1.2.2.23,"As part of the Board’s updates, senior management should provide their budgeting and forecasting activities plan for ongoing and future resource needs to ensure cyber resilience objectives are continually achieved.",Evolving,Full,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Culture,2.1.2.2.24,"The Board and senior management should cultivate a strong level of awareness of and commitment to cyber resilience. To that end, an FMI’s Board and senior management should promote a culture that recognises that staff at all levels have important responsibilities for ensuring the FMI’s cyber resilience, and lead by example.",Evolving,Full Summarily,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Culture,2.1.2.2.24,"The Board and senior management should cultivate a strong level of awareness of and commitment to cyber resilience. To that end, an FMI’s Board and senior management should promote a culture that recognises that staff at all levels have important responsibilities for ensuring the FMI’s cyber resilience, and lead by example.",Evolving,Full Summarily,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Culture,2.1.2.2.25,"The Board and senior management should ensure that behavioural and cultural change is nurtured and conveyed through leadership and vision, with clear and effective messages such as cyber resilience is everyone’s duty. This could be executed throughout the FMI, possibly built into charters, vision statements and mandates from senior management, or through cyber awareness campaigns.",Evolving,Full Summarily,"GV.OC-02.01: The organization's obligation to its customers, employees, and stakeholders to maintain safety and soundness, while balancing size and complexity, is reflected in the organization's risk management strategy and framework,  its risk appetite and risk tolerance statements, and in a risk-aware culture.",GOVERN / Organizational Context / Stakeholder Risk Management Expectations,GV.OC-02.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Culture,2.1.2.2.25,"The Board and senior management should ensure that behavioural and cultural change is nurtured and conveyed through leadership and vision, with clear and effective messages such as cyber resilience is everyone’s duty. This could be executed throughout the FMI, possibly built into charters, vision statements and mandates from senior management, or through cyber awareness campaigns.",Evolving,Full Summarily,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.02
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Culture,2.1.2.2.25,"The Board and senior management should ensure that behavioural and cultural change is nurtured and conveyed through leadership and vision, with clear and effective messages such as cyber resilience is everyone’s duty. This could be executed throughout the FMI, possibly built into charters, vision statements and mandates from senior management, or through cyber awareness campaigns.",Evolving,Full Summarily,"PR.AT-02.07: The organization's governing body (e.g., the Board or one of its committees) and senior management receive cybersecurity situational awareness training to include appropriate skills and knowledge to: 
(1) Evaluate and manage cyber risks;
(2) Promote a culture that recognizes that staff at all levels have important responsibilities in ensuring the organization's cyber resilience; and
(3) Lead by example.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.07
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Culture,2.1.2.2.26,"Senior management should ensure that situational awareness materials are made available to relevant employees when prompted by highly visible cyber incidents, changes to the threat landscape and the impacts of these threats to the FMI, or by regulatory alerts. For example, the FMI could send internal emails about cyber events or post articles on its intranet site.",Evolving,Full Summarily,"GV.RM-03.04: Technology and cybersecurity risk management considerations are integrated into daily operations, cultural norms, management discussions, and management decision-making, and are tailored to address enterprise-specific risks (both internal and external).",GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.04
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Culture,2.1.2.2.26,"Senior management should ensure that situational awareness materials are made available to relevant employees when prompted by highly visible cyber incidents, changes to the threat landscape and the impacts of these threats to the FMI, or by regulatory alerts. For example, the FMI could send internal emails about cyber events or post articles on its intranet site.",Evolving,Full Summarily,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.02
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Culture,2.1.2.2.26,"Senior management should ensure that situational awareness materials are made available to relevant employees when prompted by highly visible cyber incidents, changes to the threat landscape and the impacts of these threats to the FMI, or by regulatory alerts. For example, the FMI could send internal emails about cyber events or post articles on its intranet site.",Evolving,Full Summarily,"RS.CO-03.01: The organization ensures that cyber threat intelligence is made available, in a secure manner, to authorized staff with responsibility for the mitigation of cyber risks at the strategic, tactical and operational levels within the organization.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Culture,2.1.2.2.26,"Senior management should ensure that situational awareness materials are made available to relevant employees when prompted by highly visible cyber incidents, changes to the threat landscape and the impacts of these threats to the FMI, or by regulatory alerts. For example, the FMI could send internal emails about cyber events or post articles on its intranet site.",Evolving,Full Summarily,"RS.CO-03.02: In the event of an incident, the organization shares authorized information, in a defined manner and through trusted channels, to facilitate the detection, response, resumption and recovery of its own systems and those of other partners and critical sector participants.",RESPOND / Incident Response Reporting and Communication / Stakeholder Incident Information Sharing,RS.CO-03.02
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.27,"Senior management should ensure that it has a programme for continuing cyber resilience training and skills development for all staff. This training programme should include the Board members and senior management and should be conducted at least annually. The annual cyber resilience training should include incident response, current cyber threats (e.g. threats, threat actors and vulnerabilities), tactics and techniques (e.g. phishing, spear phishing, social engineering and mobile security) and emerging issues, according to staff members’ levels of responsibility and the risks associated with their respective roles.",Evolving,Full Summarily,"PR.AT-01.03: Cybersecurity awareness training is updated on a regular basis to reflect risks and threats identified by the organization, the organization's security policies and standards, applicable laws and regulations, and changes in individual responsibilities.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.03
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.27,"Senior management should ensure that it has a programme for continuing cyber resilience training and skills development for all staff. This training programme should include the Board members and senior management and should be conducted at least annually. The annual cyber resilience training should include incident response, current cyber threats (e.g. threats, threat actors and vulnerabilities), tactics and techniques (e.g. phishing, spear phishing, social engineering and mobile security) and emerging issues, according to staff members’ levels of responsibility and the risks associated with their respective roles.",Evolving,Full Summarily,"PR.AT-01.04: As new technology is deployed or undergoes change that also requires changes in practices, all impacted personnel (e.g., end-users, developers, operators, etc.) are trained on the new system and any accompanying technology and cybersecurity risks.",PROTECT / Awareness and Training / User Awareness & Training,PR.AT-01.04
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.27,"Senior management should ensure that it has a programme for continuing cyber resilience training and skills development for all staff. This training programme should include the Board members and senior management and should be conducted at least annually. The annual cyber resilience training should include incident response, current cyber threats (e.g. threats, threat actors and vulnerabilities), tactics and techniques (e.g. phishing, spear phishing, social engineering and mobile security) and emerging issues, according to staff members’ levels of responsibility and the risks associated with their respective roles.",Evolving,Full Summarily,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.27,"Senior management should ensure that it has a programme for continuing cyber resilience training and skills development for all staff. This training programme should include the Board members and senior management and should be conducted at least annually. The annual cyber resilience training should include incident response, current cyber threats (e.g. threats, threat actors and vulnerabilities), tactics and techniques (e.g. phishing, spear phishing, social engineering and mobile security) and emerging issues, according to staff members’ levels of responsibility and the risks associated with their respective roles.",Evolving,Full Summarily,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.02
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.27,"Senior management should ensure that it has a programme for continuing cyber resilience training and skills development for all staff. This training programme should include the Board members and senior management and should be conducted at least annually. The annual cyber resilience training should include incident response, current cyber threats (e.g. threats, threat actors and vulnerabilities), tactics and techniques (e.g. phishing, spear phishing, social engineering and mobile security) and emerging issues, according to staff members’ levels of responsibility and the risks associated with their respective roles.",Evolving,Full Summarily,PR.AT-02.03: All personnel (employee and third party) are made aware of and are trained for their role and operational steps in response and recovery plans.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.03
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.27,"Senior management should ensure that it has a programme for continuing cyber resilience training and skills development for all staff. This training programme should include the Board members and senior management and should be conducted at least annually. The annual cyber resilience training should include incident response, current cyber threats (e.g. threats, threat actors and vulnerabilities), tactics and techniques (e.g. phishing, spear phishing, social engineering and mobile security) and emerging issues, according to staff members’ levels of responsibility and the risks associated with their respective roles.",Evolving,Full Summarily,PR.AT-02.04: The organization maintains and enhances the skills and knowledge of the in-house staff performing incident management and forensic investigation activities.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.04
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.27,"Senior management should ensure that it has a programme for continuing cyber resilience training and skills development for all staff. This training programme should include the Board members and senior management and should be conducted at least annually. The annual cyber resilience training should include incident response, current cyber threats (e.g. threats, threat actors and vulnerabilities), tactics and techniques (e.g. phishing, spear phishing, social engineering and mobile security) and emerging issues, according to staff members’ levels of responsibility and the risks associated with their respective roles.",Evolving,Full Summarily,PR.AT-02.05: All third party staff receive cybersecurity awareness and job training sufficient for them to perform their duties and maintain organizational security.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.05
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.28,"Senior management should ensure that employees and contractors with privileged account permissions and/or access to sensitive assets and information, receive additional cyber resilience training commensurate with their levels of responsibility, and that business units are provided with cyber resilience training relevant to their criticality to the business.",Evolving,Full Summarily,"PR.AT-02.01: Mechanisms are in place to ensure that the personnel working with cybersecurity and technology (e.g., developers, DBAs, network admins, etc.) maintain current knowledge and skills related to changing threats, countermeasures, new tools, best practices, and their job responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.01
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.28,"Senior management should ensure that employees and contractors with privileged account permissions and/or access to sensitive assets and information, receive additional cyber resilience training commensurate with their levels of responsibility, and that business units are provided with cyber resilience training relevant to their criticality to the business.",Evolving,Full Summarily,PR.AT-02.05: All third party staff receive cybersecurity awareness and job training sufficient for them to perform their duties and maintain organizational security.,PROTECT / Awareness and Training / Specialized Role Awareness & Training,PR.AT-02.05
2.1 Governance / 2.1.2.2 Role of the Board and senior management / Skills and accountability,2.1.2.2.29,"In order to implement the cyber resilience strategy and framework, senior management should ensure that it identifies the competencies, skills and resources required. Senior management could adopt well-known skills frameworks, such as the European e-Competence Framework (e-CF) or the Skills Framework for the Information Age (SFIA) to determine its organisational needs.",Evolving,Full Summarily,"GV.RM-01.02: Technology and cybersecurity risk management strategies and frameworks are informed by applicable international, national, and financial services industry standards and guidelines.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.02
