,,"Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping","Canada Office of the Superintendent of Financial Institutions (OSFI) Guideline B-13 - Technology and Cyber Risk Management to
CRI Profile v2.1 Mapping",,,
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,8,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
OSFI B-13-01,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,Senior Management is accountable for directing the FRFI’s technology and cyber security operations and should assign clear responsibility for technology and cyber risk governance to senior officers. Examples of such roles include: Head of Information Technology; Chief Technology Officer (CTO); Chief Information Officer (CIO); Head of Cyber Security or Chief Information Security Officer (CISO). These roles should have appropriate stature and visibility throughout the institution.,Semantic,Superset of,8,10,"GV.OV-01.03: The designated Technology Officer (e.g., CIO or CTO) regularly reports to the governing authority (e.g., the Board or one of its committees) on the status of technology use and risks within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.03
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.RM-01.01: Technology and cybersecurity risk management strategies and frameworks are approved by the governing authority (e.g., the Board or one of its committees) and incorporated into the overall business strategy and enterprise risk management framework.",GOVERN / Risk Management Strategy / Risk Management Objectives Agreement,GV.RM-01.01
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.RM-02.01: The governing authority (e.g., the Board or one of its committees) endorses and regularly reviews technology and cybersecurity risk appetite and is regularly informed about the status of, and material changes to, the organization's inherent risk profile.",GOVERN / Risk Management Strategy / Risk Appetite & Risk Tolerance Statements,GV.RM-02.01
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,8,10,"GV.RM-03.04: Technology and cybersecurity risk management considerations are integrated into daily operations, cultural norms, management discussions, and management decision-making, and are tailored to address enterprise-specific risks (both internal and external).",GOVERN / Risk Management Strategy / Enterprise Risk Integration,GV.RM-03.04
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,8,10,"GV.RM-04.01: The governing authority (e.g., the Board or one of its committees) and senior management provide guidance, direction, and credible challenge in the design and implementation of risk management strategies, assessment of identified risks against risk appetite and risk tolerance, and in the selection of risk treatment approaches.",GOVERN / Risk Management Strategy / Risk Response Strategic Direction,GV.RM-04.01
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.RR-01.01: The governing authority (e.g., the Board or one of its committees) oversees and holds senior management accountable for implementing the organization’s technology and cybersecurity risk management strategies and frameworks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.01
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.RR-01.02: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s third-party risk management strategy and program and for managing the organization's ongoing risks associated with the aggregate and specific use of third parties.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.02
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.RR-01.03: The governing authority (e.g., the Board or one of its committees) regularly reviews, oversees, and holds senior management accountable for implementing the organization’s resilience strategy and program and for managing the organization's ongoing resilience risks.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.03
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.RR-01.04: The organization has designated a qualified Cybersecurity Officer (e.g., CISO) who is responsible and accountable for developing a cybersecurity strategy, overseeing and implementing its cybersecurity program, and enforcing its cybersecurity policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.04
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.RR-01.05: The organization designates a qualified Technology Officer (e.g., CIO or CTO) who is responsible and accountable for developing technology strategy, overseeing and implementing its technology program, and enforcing its technology policy.","GOVERN / Roles, Responsibilities, and Authorities / Organizational Leadership Responsibility",GV.RR-01.05
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.RR-03.01: The organization's budgeting and resourcing processes identify, prioritize, and address resource needs to manage identified technology and cybersecurity risks (e.g., skill shortages, headcount, new tools, incident-related expenses, and unsupported systems).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.01
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,GV.RR-03.02: The organization regularly assesses its skill and resource level requirements against its current personnel complement to determine gaps in resource need.,"GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.02
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,8,10,"GV.RR-03.03: The organization provides adequate resources, appropriate authority, and access to the governing authority for the designated Cybersecurity Officer (e.g., CISO).","GOVERN / Roles, Responsibilities, and Authorities / Resource Adequacy",GV.RR-03.03
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.OV-01.02: The designated Cybersecurity Officer (e.g., CISO) periodically reports to the appropriate governing authority (e.g., the Board or one of its committees) or equivalent governing body on the status of cybersecurity within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.02
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,9,10,"GV.OV-01.03: The designated Technology Officer (e.g., CIO or CTO) regularly reports to the governing authority (e.g., the Board or one of its committees) on the status of technology use and risks within the organization.",GOVERN / Oversight / Risk Management Strategy Outcomes Review,GV.OV-01.03
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Intersects with,8,10,"GV.OV-03.01: The organization develops, implements, and reports to management and the governing body (e.g., the Board or one of its committees) key technology and cybersecurity risk and performance indicators and metrics to measure, monitor, and report actionable indicators.",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.01
OSFI B-13-02,"1 Technology and Cyber Governance and Risk Management 

Outcome: Technology and cyber risks are governed through clear accountabilities and structures, and comprehensive strategies and frameworks.","1.1 Accountability and Organizational Structure.

Principle 1: Senior Management should assign responsibility for managing technology and cyber risks to senior officers. It should also ensure an appropriate organizational structure and adequate resourcing are in place for managing technology and cyber risks across the FRFI.",1.1.1 Senior Management accountability is established,"Appropriate structure, resources and training are provided FRFIs should:
- Establish an organizational structure for managing technology and cyber risks across the institution, with clear roles and responsibilities, adequate people and financial resources, and appropriate subject-matter expertise and training;
- Include among its Senior Management ranks persons with sufficient understanding of technology and cyber risks; and
- Promote a culture of risk awareness in relation to technology and cyber risks throughout the institution.",Semantic,Superset of,8,10,"GV.OV-03.02: Resilience program performance is measured and regularly reported to senior executives and the governing authority (e.g., the Board or one of its committees).",GOVERN / Oversight / Risk Management Performance Measurement,GV.OV-03.02
